"arch","lambda","seed","threshold","Acc","Spec","Sens","BalAcc","Acc_flip","is_MC"
"SimpleRNN",0,23,0.3,0.518032786885246,0,1,0.5,0.481967213114754,TRUE
"SimpleRNN",0,23,0.35,0.514754098360656,0,0.993670886075949,0.496835443037975,0.485245901639344,TRUE
"SimpleRNN",0,23,0.4,0.485245901639344,0.0680272108843537,0.873417721518987,0.470722466201671,0.514754098360656,FALSE
"SimpleRNN",0,23,0.45,0.514754098360656,0.238095238095238,0.772151898734177,0.505123568414708,0.485245901639344,FALSE
"SimpleRNN",0,23,0.5,0.468852459016393,0.482993197278912,0.455696202531646,0.469344699905279,0.531147540983607,FALSE
"SimpleRNN",0,23,0.55,0.459016393442623,0.748299319727891,0.189873417721519,0.469086368724705,0.540983606557377,FALSE
"SimpleRNN",0,23,0.6,0.455737704918033,0.91156462585034,0.0316455696202532,0.471605097735297,0.544262295081967,FALSE
"SimpleRNN",0,23,0.65,0.485245901639344,0.979591836734694,0.0253164556962025,0.502454146215448,0.514754098360656,FALSE
"SimpleRNN",0,23,0.7,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"SimpleRNN",0,27,0.3,0.518032786885246,0.00680272108843537,0.993670886075949,0.500236803582192,0.481967213114754,FALSE
"SimpleRNN",0,27,0.35,0.511475409836066,0.0476190476190476,0.943037974683544,0.495328511151296,0.488524590163934,FALSE
"SimpleRNN",0,27,0.4,0.475409836065574,0.102040816326531,0.822784810126582,0.462412813226556,0.524590163934426,FALSE
"SimpleRNN",0,27,0.45,0.475409836065574,0.142857142857143,0.784810126582278,0.463833634719711,0.524590163934426,FALSE
"SimpleRNN",0,27,0.5,0.409836065573771,0.469387755102041,0.354430379746835,0.411909067424438,0.590163934426229,FALSE
"SimpleRNN",0,27,0.55,0.436065573770492,0.789115646258503,0.107594936708861,0.448355291483682,0.563934426229508,FALSE
"SimpleRNN",0,27,0.6,0.475409836065574,0.979591836734694,0.00632911392405063,0.492960475329372,0.524590163934426,FALSE
"SimpleRNN",0,27,0.65,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"SimpleRNN",0,27,0.7,0.481967213114754,1,0,0.5,0.518032786885246,TRUE
"SimpleRNN",0,98,0.3,0.524590163934426,0.0136054421768707,1,0.506802721088435,0.475409836065574,FALSE
"SimpleRNN",0,98,0.35,0.501639344262295,0.0340136054421769,0.936708860759494,0.485361233100835,0.498360655737705,FALSE
"SimpleRNN",0,98,0.4,0.495081967213115,0.0816326530612245,0.879746835443038,0.480689744252131,0.504918032786885,FALSE
"SimpleRNN",0,98,0.45,0.488524590163934,0.142857142857143,0.810126582278481,0.476491862567812,0.511475409836066,FALSE
