"lambda","seed","threshold","Acc_val","BalAcc_val","F1_val","Sens_val","Spec_val","Acc_test","BalAcc_test","F1_test","Sens_test","Spec_test","Acc_flip_test","is_MC_test"
0,23,0.3,0.582236842105263,0.506036931818182,0.732631578947368,0.988636363636364,0.0234375,0.504918032786885,0.5,0.671023965141612,1,0,0.495081967213115,TRUE
0,23,0.35,0.585526315789474,0.511008522727273,0.733050847457627,0.982954545454545,0.0390625,0.501639344262295,0.496753246753247,0.668122270742358,0.993506493506494,0,0.498360655737705,TRUE
0,23,0.4,0.592105263157895,0.524147727272727,0.730434782608696,0.954545454545455,0.09375,0.514754098360656,0.510256299991399,0.668161434977579,0.967532467532468,0.0529801324503311,0.485245901639344,FALSE
0,23,0.45,0.582236842105263,0.533735795454545,0.699763593380615,0.840909090909091,0.2265625,0.508196721311475,0.505310914251312,0.621212121212121,0.798701298701299,0.211920529801325,0.491803278688525,FALSE
0,23,0.5,0.559210526315789,0.559659090909091,0.593939393939394,0.556818181818182,0.5625,0.491803278688525,0.491915369398813,0.488448844884488,0.480519480519481,0.503311258278146,0.508196721311475,FALSE
0,23,0.55,0.467105263157895,0.5078125,0.352,0.25,0.765625,0.488524590163934,0.491184312376365,0.303571428571429,0.220779220779221,0.76158940397351,0.511475409836066,FALSE
0,23,0.6,0.430921052631579,0.494673295454545,0.15609756097561,0.0909090909090909,0.8984375,0.501639344262295,0.506299991399329,0.0617283950617284,0.0324675324675325,0.980132450331126,0.498360655737705,FALSE
0,23,0.65,0.434210526315789,0.508167613636364,0.0752688172043011,0.0397727272727273,0.9765625,0.495081967213115,0.5,NA,0,1,0.504918032786885,TRUE
0,23,0.7,0.434210526315789,0.510298295454545,0.0549450549450549,0.0284090909090909,0.9921875,0.495081967213115,0.5,NA,0,1,0.504918032786885,TRUE
0,27,0.3,0.578947368421053,0.5,0.733333333333333,1,0,0.504918032786885,0.5,0.671023965141612,1,0,0.495081967213115,TRUE
0,27,0.35,0.578947368421053,0.5,0.733333333333333,1,0,0.504918032786885,0.5,0.671023965141612,1,0,0.495081967213115,TRUE
0,27,0.4,0.578947368421053,0.5,0.733333333333333,1,0,0.504918032786885,0.5,0.671023965141612,1,0,0.495081967213115,TRUE
0,27,0.45,0.598684210526316,0.539417613636364,0.725225225225225,0.914772727272727,0.1640625,0.508196721311475,0.504536853874602,0.642857142857143,0.876623376623377,0.132450331125828,0.491803278688525,FALSE
0,27,0.5,0.572368421052632,0.577414772727273,0.596273291925466,0.545454545454545,0.609375,0.495081967213115,0.495226627676959,0.490066225165563,0.480519480519481,0.509933774834437,0.504918032786885,FALSE
0,27,0.55,0.450657894736842,0.515980113636364,0.177339901477832,0.102272727272727,0.9296875,0.478688524590164,0.482863163326739,0.101694915254237,0.0584415584415584,0.907284768211921,0.521311475409836,FALSE
0,27,0.6,0.434210526315789,0.510298295454545,0.0549450549450549,0.0284090909090909,0.9921875,0.495081967213115,0.5,NA,0,1,0.504918032786885,TRUE
0,27,0.65,0.421052631578947,0.5,NA,0,1,0.495081967213115,0.5,NA,0,1,0.504918032786885,TRUE
0,27,0.7,0.421052631578947,0.5,NA,0,1,0.495081967213115,0.5,NA,0,1,0.504918032786885,TRUE
0,98,0.3,0.582236842105263,0.506036931818182,0.732631578947368,0.988636363636364,0.0234375,0.504918032786885,0.5,0.671023965141612,1,0,0.495081967213115,TRUE
0,98,0.35,0.592105263157895,0.518821022727273,0.736170212765958,0.982954545454545,0.0546875,0.501639344262295,0.496817751784639,0.666666666666667,0.987012987012987,0.00662251655629139,0.498360655737705,FALSE
0,98,0.4,0.592105263157895,0.524147727272727,0.730434782608696,0.954545454545455,0.09375,0.511475409836066,0.506880536681861,0.66815144766147,0.974025974025974,0.0397350993377483,0.488524590163934,FALSE
0,98,0.45,0.578947368421053,0.524502840909091,0.705069124423963,0.869318181818182,0.1796875,0.495081967213115,0.491614345918982,0.628019323671498,0.844155844155844,0.139072847682119,0.504918032786885,FALSE
0,98,0.5,0.578947368421053,0.577769886363636,0.616766467065868,0.585227272727273,0.5703125,0.511475409836066,0.511718414036295,0.501672240802676,0.487012987012987,0.536423841059603,0.488524590163934,FALSE
0,98,0.55,0.480263157894737,0.520241477272727,0.373015873015873,0.267045454545455,0.7734375,0.478688524590164,0.481444052636106,0.280542986425339,0.201298701298701,0.76158940397351,0.521311475409836,FALSE
0,98,0.6,0.440789473684211,0.503196022727273,0.182692307692308,0.107954545454545,0.8984375,0.488524590163934,0.492990453255354,0.0714285714285714,0.038961038961039,0.947019867549669,0.511475409836066,FALSE
0,98,0.65,0.430921052631579,0.503196022727273,0.0846560846560847,0.0454545454545455,0.9609375,0.498360655737705,0.503246753246753,0.0129032258064516,0.00649350649350649,1,0.501639344262295,FALSE
0,98,0.7,0.434210526315789,0.510298295454545,0.0549450549450549,0.0284090909090909,0.9921875,0.495081967213115,0.5,NA,0,1,0.504918032786885,TRUE
