"lambda","seed","threshold","Acc_val","BalAcc_val","F1_val","Sens_val","Spec_val","Acc_test","BalAcc_test","F1_test","Sens_test","Spec_test","Acc_flip_test","is_MC_test"
0,23,0.3,0.509868421052632,0.5,0.675381263616558,1,0,0.518032786885246,0.5,0.682505399568035,1,0,0.481967213114754,TRUE
0,23,0.35,0.509868421052632,0.5,0.675381263616558,1,0,0.518032786885246,0.5,0.682505399568035,1,0,0.481967213114754,TRUE
0,23,0.4,0.506578947368421,0.496774193548387,0.672489082969432,0.993548387096774,0,0.508196721311475,0.490506329113924,0.673913043478261,0.981012658227848,0,0.491803278688525,TRUE
0,23,0.45,0.516447368421053,0.508659883091578,0.655737704918033,0.903225806451613,0.114093959731544,0.472131147540984,0.4571170240248,0.631578947368421,0.873417721518987,0.0408163265306122,0.527868852459016,FALSE
0,23,0.5,0.536184210526316,0.535678718337302,0.552380952380952,0.561290322580645,0.51006711409396,0.4,0.400520967880823,0.4,0.386075949367089,0.414965986394558,0.6,FALSE
0,23,0.55,0.496710526315789,0.505932019917731,0.0727272727272727,0.0387096774193548,0.973154362416107,0.481967213114754,0.5,NA,0,1,0.518032786885246,TRUE
0,23,0.6,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,0.518032786885246,TRUE
0,23,0.65,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,0.518032786885246,TRUE
0,23,0.7,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,0.518032786885246,TRUE
0,27,0.3,0.509868421052632,0.5,0.675381263616558,1,0,0.518032786885246,0.5,0.682505399568035,1,0,0.481967213114754,TRUE
0,27,0.35,0.503289473684211,0.493548387096774,0.669584245076587,0.987096774193548,0,0.518032786885246,0.500473607164385,0.679738562091503,0.987341772151899,0.0136054421768707,0.481967213114754,FALSE
0,27,0.4,0.509868421052632,0.500519592985495,0.669623059866962,0.974193548387097,0.0268456375838926,0.514754098360656,0.497545853784552,0.675438596491228,0.974683544303797,0.0204081632653061,0.485245901639344,FALSE
0,27,0.45,0.523026315789474,0.515760987226672,0.653937947494033,0.883870967741936,0.147651006711409,0.459016393442623,0.446116421252045,0.606205250596659,0.80379746835443,0.0884353741496599,0.540983606557377,FALSE
0,27,0.5,0.542763157894737,0.542390127733276,0.555910543130991,0.561290322580645,0.523489932885906,0.409836065573771,0.411198656677861,0.395973154362416,0.373417721518987,0.448979591836735,0.590163934426229,FALSE
0,27,0.55,0.496710526315789,0.50554232517861,0.105263157894737,0.0580645161290323,0.953020134228188,0.468852459016393,0.485210539912167,0.0581395348837209,0.0316455696202532,0.938775510204082,0.531147540983607,FALSE
0,27,0.6,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,0.518032786885246,TRUE
0,27,0.65,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,0.518032786885246,TRUE
0,27,0.7,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,0.518032786885246,TRUE
0,98,0.3,0.509868421052632,0.500519592985495,0.669623059866962,0.974193548387097,0.0268456375838926,0.518032786885246,0.500710410746577,0.678336980306346,0.981012658227848,0.0204081632653061,0.481967213114754,FALSE
0,98,0.35,0.509868421052632,0.500519592985495,0.669623059866962,0.974193548387097,0.0268456375838926,0.508196721311475,0.491690347024886,0.666666666666667,0.949367088607595,0.0340136054421769,0.491803278688525,FALSE
0,98,0.4,0.493421052631579,0.484780255466551,0.65,0.92258064516129,0.0469798657718121,0.488524590163934,0.473650219581503,0.642201834862385,0.886075949367089,0.0612244897959184,0.511475409836066,FALSE
0,98,0.45,0.529605263157895,0.522732193115393,0.653753026634383,0.870967741935484,0.174496644295302,0.459016393442623,0.447300439163007,0.596577017114914,0.772151898734177,0.122448979591837,0.540983606557377,FALSE
0,98,0.5,0.546052631578947,0.544576748213899,0.581818181818182,0.619354838709677,0.469798657718121,0.363934426229508,0.36121157323689,0.41566265060241,0.436708860759494,0.285714285714286,0.636065573770492,FALSE
0,98,0.55,0.516447368421053,0.524117774410045,0.222222222222222,0.135483870967742,0.912751677852349,0.449180327868852,0.463381555153707,0.115789473684211,0.069620253164557,0.857142857142857,0.550819672131148,FALSE
0,98,0.6,0.496710526315789,0.506191816410479,0.0496894409937888,0.0258064516129032,0.986577181208054,0.481967213114754,0.499763196417808,0.0125,0.00632911392405063,0.993197278911565,0.518032786885246,FALSE
0,98,0.65,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,0.518032786885246,TRUE
