"ticker","lambda","seed","threshold","Acc_val","BalAcc_val","F1_val","Sens_val","Spec_val","Acc_test","BalAcc_test","F1_test","Sens_test","Spec_test","Acc_flip_test","is_MC_test"
"TAVHL.IS",0,23,0.35,0.578947368421053,0.5,0.733333333333333,1,0,0.498360655737705,0.5,0.665207877461707,1,0,0.501639344262295,TRUE
"TAVHL.IS",0,23,0.4,0.578947368421053,0.5,0.733333333333333,1,0,0.498360655737705,0.5,0.665207877461707,1,0,0.501639344262295,TRUE
"TAVHL.IS",0,23,0.45,0.588815789473684,0.518110795454545,0.731182795698925,0.965909090909091,0.0703125,0.495081967213115,0.496603027175783,0.654708520179372,0.960526315789474,0.0326797385620915,0.504918032786885,FALSE
"TAVHL.IS",0,23,0.5,0.549342105263158,0.533025568181818,0.620498614958449,0.636363636363636,0.4296875,0.514754098360656,0.515049879600963,0.55421686746988,0.605263157894737,0.42483660130719,0.485245901639344,FALSE
"TAVHL.IS",0,23,0.55,0.434210526315789,0.502840909090909,0.122448979591837,0.0681818181818182,0.9375,0.491803278688525,0.490239078087375,0.0251572327044025,0.0131578947368421,0.967320261437909,0.508196721311475,FALSE
"TAVHL.IS",0,23,0.6,0.421052631578947,0.5,NA,0,1,0.501639344262295,0.5,NA,0,1,0.498360655737705,TRUE
"TAVHL.IS",0,23,0.65,0.421052631578947,0.5,NA,0,1,0.501639344262295,0.5,NA,0,1,0.498360655737705,TRUE
"TAVHL.IS",0,23,0.7,0.421052631578947,0.5,NA,0,1,0.501639344262295,0.5,NA,0,1,0.498360655737705,TRUE
"TAVHL.IS",0,27,0.3,0.572368421052632,0.496448863636364,0.725738396624473,0.977272727272727,0.015625,0.498360655737705,0.5,0.665207877461707,1,0,0.501639344262295,TRUE
"TAVHL.IS",0,27,0.35,0.582236842105263,0.510298295454545,0.728051391862955,0.965909090909091,0.0546875,0.498360655737705,0.499935500515996,0.660753880266075,0.980263157894737,0.0196078431372549,0.501639344262295,FALSE
"TAVHL.IS",0,27,0.4,0.585526315789474,0.520596590909091,0.722466960352423,0.931818181818182,0.109375,0.518032786885246,0.519435844513244,0.662068965517241,0.947368421052632,0.0915032679738562,0.481967213114754,FALSE
"TAVHL.IS",0,27,0.45,0.559210526315789,0.514914772727273,0.676328502415459,0.795454545454545,0.234375,0.514754098360656,0.515608875128999,0.614583333333333,0.776315789473684,0.254901960784314,0.485245901639344,FALSE
"TAVHL.IS",0,27,0.5,0.549342105263158,0.545809659090909,0.593471810089021,0.568181818181818,0.5234375,0.491803278688525,0.491851565187479,0.498381877022654,0.506578947368421,0.477124183006536,0.508196721311475,FALSE
"TAVHL.IS",0,27,0.55,0.4375,0.490767045454545,0.24,0.153409090909091,0.828125,0.475409836065574,0.474544203646371,0.285714285714286,0.210526315789474,0.738562091503268,0.524590163934426,FALSE
"TAVHL.IS",0,27,0.6,0.440789473684211,0.506392045454545,0.158415841584158,0.0909090909090909,0.921875,0.488524590163934,0.487379600963192,0.212121212121212,0.138157894736842,0.836601307189543,0.511475409836066,FALSE
"TAVHL.IS",0,27,0.65,0.430921052631579,0.503196022727273,0.0846560846560847,0.0454545454545455,0.9609375,0.524590163934426,0.523241314069487,0.189944134078212,0.111842105263158,0.934640522875817,0.475409836065574,FALSE
"TAVHL.IS",0,27,0.7,0.424342105263158,0.501775568181818,0.0223463687150838,0.0113636363636364,0.9921875,0.518032786885246,0.516576367389061,0.130177514792899,0.0723684210526316,0.96078431372549,0.481967213114754,FALSE
"TAVHL.IS",0,98,0.3,0.572368421052632,0.494318181818182,0.728033472803347,0.988636363636364,0,0.498360655737705,0.5,0.665207877461707,1,0,0.501639344262295,TRUE
"TAVHL.IS",0,98,0.35,0.582236842105263,0.510298295454545,0.728051391862955,0.965909090909091,0.0546875,0.498360655737705,0.499957000343997,0.662251655629139,0.986842105263158,0.0130718954248366,0.501639344262295,FALSE
