"lambda","seed","threshold","Acc_val","BalAcc_val","F1_val","Sens_val","Spec_val","Acc_test","BalAcc_test","F1_test","Sens_test","Spec_test","Acc_flip_test","is_MC_test"
0,23,0.3,0.509868421052632,0.500389694739121,0.671081677704194,0.980645161290323,0.0201342281879195,0.518032786885246,0.500473607164385,0.679738562091503,0.987341772151899,0.0136054421768707,0.481967213114754,FALSE
0,23,0.35,0.529605263157895,0.521822905390777,0.665105386416862,0.916129032258065,0.12751677852349,0.475409836065574,0.460991991733402,0.62962962962963,0.860759493670886,0.0612244897959184,0.524590163934426,FALSE
0,23,0.4,0.536184210526316,0.530093093743234,0.648379052369077,0.838709677419355,0.221476510067114,0.462295081967213,0.451885817618186,0.587939698492462,0.740506329113924,0.163265306122449,0.537704918032787,FALSE
0,23,0.45,0.516447368421053,0.518142455076857,0.476868327402135,0.432258064516129,0.604026845637584,0.413114754098361,0.415310427968656,0.384879725085911,0.354430379746835,0.476190476190476,0.586885245901639,FALSE
0,23,0.5,0.526315789473684,0.533535397272137,0.26530612244898,0.167741935483871,0.899328859060403,0.426229508196721,0.438624817015414,0.146341463414634,0.0949367088607595,0.782312925170068,0.573770491803279,FALSE
0,23,0.55,0.486842105263158,0.495735007577398,0.0823529411764706,0.0451612903225806,0.946308724832215,0.445901639344262,0.460216998191682,0.105820105820106,0.0632911392405063,0.857142857142857,0.554098360655738,FALSE
0,23,0.6,0.496710526315789,0.506451612903226,0.0254777070063694,0.0129032258064516,1,0.478688524590164,0.495888228709205,0.0363636363636364,0.0189873417721519,0.972789115646258,0.521311475409836,FALSE
0,23,0.65,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,0.518032786885246,TRUE
0,23,0.7,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,0.518032786885246,TRUE
0,27,0.3,0.529605263157895,0.521173414158909,0.672768878718536,0.948387096774194,0.0939597315436242,0.498360655737705,0.482670283303195,0.654627539503386,0.917721518987342,0.0476190476190476,0.501639344262295,FALSE
0,27,0.35,0.529605263157895,0.522472396622646,0.657074340527578,0.883870967741936,0.161073825503356,0.472131147540984,0.459721863428916,0.612048192771084,0.80379746835443,0.115646258503401,0.527868852459016,FALSE
0,27,0.4,0.532894736842105,0.5264775925525,0.650246305418719,0.851612903225806,0.201342281879195,0.462295081967213,0.450938603289417,0.596059113300493,0.765822784810127,0.136054421768707,0.537704918032787,FALSE
0,27,0.45,0.509868421052632,0.506494912318684,0.584958217270195,0.67741935483871,0.335570469798658,0.449180327868852,0.440885214845432,0.557894736842105,0.670886075949367,0.210884353741497,0.550819672131148,FALSE
0,27,0.5,0.519736842105263,0.52175795626759,0.471014492753623,0.419354838709677,0.624161073825503,0.413114754098361,0.414363213639886,0.40133779264214,0.379746835443038,0.448979591836735,0.586885245901639,FALSE
0,27,0.55,0.493421052631579,0.498809266074908,0.3125,0.225806451612903,0.771812080536913,0.40655737704918,0.41442779643503,0.255144032921811,0.19620253164557,0.63265306122449,0.59344262295082,FALSE
0,27,0.6,0.506578947368421,0.515219744533449,0.137931034482759,0.0774193548387097,0.953020134228188,0.462295081967213,0.478881425988117,0.0352941176470588,0.0189873417721519,0.938775510204082,0.537704918032787,FALSE
0,27,0.65,0.490131578947368,0.5,NA,0,1,0.475409836065574,0.493197278911565,NA,0,0.986394557823129,0.524590163934426,TRUE
