"lambda","seed","threshold","Acc_val","BalAcc_val","F1_val","Sens_val","Spec_val","Acc_test","BalAcc_test","F1_test","Sens_test","Spec_test","Acc_flip_test","is_MC_test"
0,23,0.3,0.503289473684211,0.493548387096774,0.669584245076587,0.987096774193548,0,0.518032786885246,0.5,0.682505399568035,1,0,0.481967213114754,TRUE
0,23,0.35,0.509868421052632,0.500519592985495,0.669623059866962,0.974193548387097,0.0268456375838926,0.518032786885246,0.500710410746577,0.678336980306346,0.981012658227848,0.0204081632653061,0.481967213114754,FALSE
0,23,0.4,0.509868421052632,0.500519592985495,0.669623059866962,0.974193548387097,0.0268456375838926,0.508196721311475,0.491216739860501,0.669603524229075,0.962025316455696,0.0204081632653061,0.491803278688525,FALSE
0,23,0.45,0.503289473684211,0.494587573067764,0.657596371882086,0.935483870967742,0.0536912751677852,0.485245901639344,0.471196073366055,0.634032634032634,0.860759493670886,0.0816326530612245,0.514754098360656,FALSE
0,23,0.5,0.536184210526316,0.529963195496861,0.650124069478908,0.845161290322581,0.214765100671141,0.459016393442623,0.448010849909584,0.590570719602978,0.753164556962025,0.142857142857143,0.540983606557377,FALSE
0,23,0.55,0.513157894736842,0.513227971422386,0.516339869281046,0.509677419354839,0.516778523489933,0.383606557377049,0.384698183070697,0.373333333333333,0.354430379746835,0.414965986394558,0.616393442622951,FALSE
0,23,0.6,0.503289473684211,0.511864039835462,0.137142857142857,0.0774193548387097,0.946308724832215,0.468852459016393,0.48544734349436,0.0470588235294118,0.0253164556962025,0.945578231292517,0.531147540983607,FALSE
0,23,0.65,0.490131578947368,0.499480407014505,0.049079754601227,0.0258064516129032,0.973154362416107,0.481967213114754,0.5,NA,0,1,0.518032786885246,TRUE
0,23,0.7,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,0.518032786885246,TRUE
0,27,0.3,0.509868421052632,0.5,0.675381263616558,1,0,0.518032786885246,0.5,0.682505399568035,1,0,0.481967213114754,TRUE
0,27,0.35,0.509868421052632,0.5,0.675381263616558,1,0,0.518032786885246,0.5,0.682505399568035,1,0,0.481967213114754,TRUE
0,27,0.4,0.509868421052632,0.5,0.675381263616558,1,0,0.518032786885246,0.5,0.682505399568035,1,0,0.481967213114754,TRUE
0,27,0.45,0.503289473684211,0.493548387096774,0.669584245076587,0.987096774193548,0,0.514754098360656,0.497309050202359,0.676855895196507,0.981012658227848,0.0136054421768707,0.485245901639344,FALSE
0,27,0.5,0.536184210526316,0.530742584975103,0.639386189258312,0.806451612903226,0.25503355704698,0.416393442622951,0.405924395074486,0.552763819095477,0.69620253164557,0.115646258503401,0.583606557377049,FALSE
0,27,0.55,0.513157894736842,0.520372374972938,0.244897959183673,0.154838709677419,0.885906040268456,0.429508196721311,0.441315766813054,0.171428571428571,0.113924050632911,0.768707482993197,0.570491803278689,FALSE
0,27,0.6,0.490131578947368,0.499480407014505,0.049079754601227,0.0258064516129032,0.973154362416107,0.481967213114754,0.499763196417808,0.0125,0.00632911392405063,0.993197278911565,0.518032786885246,FALSE
0,27,0.65,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,0.518032786885246,TRUE
0,27,0.7,0.490131578947368,0.5,NA,0,1,0.481967213114754,0.5,NA,0,1,0.518032786885246,TRUE
0,98,0.3,0.509868421052632,0.500519592985495,0.669623059866962,0.974193548387097,0.0268456375838926,0.518032786885246,0.500710410746577,0.678336980306346,0.981012658227848,0.0204081632653061,0.481967213114754,FALSE
0,98,0.35,0.509868421052632,0.500519592985495,0.669623059866962,0.974193548387097,0.0268456375838926,0.518032786885246,0.500710410746577,0.678336980306346,0.981012658227848,0.0204081632653061,0.481967213114754,FALSE
0,98,0.4,0.509868421052632,0.500649491231868,0.66815144766147,0.967741935483871,0.0335570469798658,0.514754098360656,0.498493068113321,0.669642857142857,0.949367088607595,0.0476190476190476,0.485245901639344,FALSE
0,98,0.45,0.496710526315789,0.488265858410911,0.649885583524027,0.916129032258065,0.0604026845637584,0.478688524590164,0.465103763024197,0.625882352941176,0.841772151898734,0.0884353741496599,0.521311475409836,FALSE
0,98,0.5,0.536184210526316,0.529833297250487,0.651851851851852,0.851612903225806,0.208053691275168,0.465573770491803,0.454339963833635,0.597530864197531,0.765822784810127,0.142857142857143,0.534426229508197,FALSE
0,98,0.55,0.532894736842105,0.533232301363932,0.529801324503311,0.516129032258065,0.550335570469799,0.380327868852459,0.379876001033325,0.396166134185303,0.392405063291139,0.36734693877551,0.619672131147541,FALSE
0,98,0.6,0.503289473684211,0.511474345096341,0.165745856353591,0.0967741935483871,0.926174496644295,0.455737704918033,0.470421079824335,0.10752688172043,0.0632911392405063,0.877551020408163,0.544262295081967,FALSE
0,98,0.65,0.496710526315789,0.506191816410479,0.0496894409937888,0.0258064516129032,0.986577181208054,0.481967213114754,0.499763196417808,0.0125,0.00632911392405063,0.993197278911565,0.518032786885246,FALSE
