"dataset","n","p_features","nbins_low","MI_low","nbins_default","MI_default","nbins_high","MI_high","nbins_range_pct","null_mean","null_q95","null_q99","p_value","MI_bias_corrected","boot_CI_low","boot_CI_high","verdict"
"AMZ_closing_price",234,1,8,0.0311282814915179,15,0.0766470299230386,25,0.107442607742952,99.5659275096003,0.0301921223880342,0.0515035769114264,0.0607926805790816,0,0.0464549075350044,0.0497964673014232,0.159207049477844,"AMBIGUOUS (p<0.05 ama nbins'e duyarli — daha buyuk n veya farkli est. lazim)"
"AMZ_closing_logreturn",234,1,8,0.0102513758158391,15,0.034782940118594,25,0.034937278371951,70.9712936052681,0.0324993173129767,0.0546997209383157,0.0639321565647882,0.385,0.00228362280561721,0.0269645157100815,0.100460765092497,"BIAS_ONLY (gozlenen MI tamamen histogram bias'i ile aciklanabilir)"
"AMZ_full_7feat",234,7,8,0.503711237886271,15,0.559686122072693,25,0.573770895004335,12.5176691640328,0.555655837044647,0.567846560127755,0.573770895004335,0.445,0.0040302850280467,0.507449548754545,0.620664525757996,"BIAS_ONLY (gozlenen MI tamamen histogram bias'i ile aciklanabilir)"
"THYAO_closing_price",2032,1,10,0.00839956921620999,20,0.0146826936685058,25,0.0146826936685058,42.7927231484305,0.00467967812431578,0.00745922702215105,0.00944110882375326,0,0.01000301554419,0.0112992228663123,0.0290028454099166,"BIAS_ONLY (gozlenen MI tamamen histogram bias'i ile aciklanabilir)"
"THYAO_closing_logreturn",2032,1,10,0.00273902917263324,20,0.00535985778110248,25,0.00535985778110248,48.897353540044,0.00454095557781954,0.00700866577890431,0.00849200107497882,0.275,0.000818902203282945,0.00474634515929303,0.0167909412272921,"BIAS_ONLY (gozlenen MI tamamen histogram bias'i ile aciklanabilir)"
"THYAO_full_7feat",2032,7,10,0.528111844982432,20,0.66679662239715,25,0.66679662239715,20.7986622541883,0.660425160681503,0.664975069574717,0.66676547241048,0.01,0.00637146171564729,0.665728043070726,0.682088215778533,"BIAS_ONLY (gozlenen MI tamamen histogram bias'i ile aciklanabilir)"
