"arch","lambda","seed","test_min","test_max","test_mean","test_range"
"GRU",0,23,0.406895190477371,0.612121224403381,0.496959295429167,0.20522603392601
"GRU",0,27,0.365102976560593,0.594585120677948,0.493518681897492,0.229482144117355
"GRU",0,98,0.383535951375961,0.62877756357193,0.501963658508707,0.245241612195969
"GRU",0,41,0.390043795108795,0.55810558795929,0.496383509870435,0.168061792850494
"GRU",0,64,0.347255915403366,0.585758328437805,0.487347769248681,0.238502413034439
"GRU",0.05,23,0.346583008766174,0.596574127674103,0.48372831979736,0.249991118907928
"GRU",0.05,27,0.368172734975815,0.590878248214722,0.492392877379402,0.222705513238907
"GRU",0.05,98,0.382241278886795,0.624716877937317,0.498905977948767,0.242475599050522
"GRU",0.05,41,0.319904983043671,0.609565913677216,0.486628601687853,0.289660930633545
"GRU",0.05,64,0.374964207410812,0.567692518234253,0.494960978480636,0.192728310823441
"GRU",0.1,23,0.402911603450775,0.601091027259827,0.490427937468544,0.198179423809052
"GRU",0.1,27,0.371596485376358,0.588013410568237,0.492248538283051,0.216416925191879
"GRU",0.1,98,0.383231163024902,0.621033370494843,0.496957226268581,0.23780220746994
"GRU",0.1,41,0.327240139245987,0.60812771320343,0.487777579905557,0.280887573957443
"GRU",0.1,64,0.378883928060532,0.566645801067352,0.495178234186329,0.187761873006821
