"fund","lambda","seed","test_min","test_max","test_mean","test_sd","test_range"
"AZS",0,23,0.499626100063324,0.531090795993805,0.522943887540272,0.0129633946368492,0.031464695930481
"AZS",0,27,0.496177434921265,0.510874450206757,0.507843794141497,0.00498131314685122,0.0146970152854919
"AZS",0,98,0.437653183937073,0.500552296638489,0.491824652467455,0.019448700890488,0.062899112701416
"AZS",0,41,0.485881775617599,0.538852632045746,0.499801783902305,0.022376930200735,0.0529708564281464
"AZS",0,64,0.505662739276886,0.543050765991211,0.538060275145939,0.0117641609372394,0.037388026714325
"AZS",0.05,23,0.498886227607727,0.529766917228699,0.521951610701425,0.0124638419180497,0.0308806896209717
"AZS",0.05,27,0.496445059776306,0.510013818740845,0.507186262948172,0.004595196873214,0.0135687589645386
"AZS",0.05,98,0.438419729471207,0.502699255943298,0.493586563212531,0.0199006962228758,0.0642795264720917
"AZS",0.05,41,0.486150950193405,0.53840696811676,0.499926359312875,0.0221373410152792,0.0522560179233551
"AZS",0.05,64,0.463701844215393,0.528175711631775,0.517551615408489,0.0207439744376381,0.0644738674163818
"AZS",0.1,23,0.481308817863464,0.511259734630585,0.503934696742466,0.01173668404087,0.0299509167671204
"AZS",0.1,27,0.496807157993317,0.509162485599518,0.506569120713643,0.0041743310843155,0.0123553276062012
"AZS",0.1,98,0.438558042049408,0.503227233886719,0.493990881953921,0.0200322608784779,0.0646691918373108
"AZS",0.1,41,0.486418724060059,0.537936627864838,0.500034359523228,0.0218752328283242,0.0515179038047791
"AZS",0.1,64,0.459050923585892,0.524246573448181,0.51360359787941,0.0209212280426424,0.0651956498622894
