"arch","lambda","seed","test_min","test_max","test_mean","test_range"
"SimpleRNN",0,23,0.30434063076973,0.686755359172821,0.49519159725455,0.382414728403091
"SimpleRNN",0,27,0.285544246435165,0.622879683971405,0.485212693839777,0.33733543753624
"SimpleRNN",0,98,0.288557678461075,0.708050668239594,0.492540655663756,0.419492989778519
"SimpleRNN",0,41,0.340052902698517,0.654397904872894,0.484986824676639,0.314345002174377
"SimpleRNN",0,64,0.288219153881073,0.665074110031128,0.495084688214005,0.376854956150055
"SimpleRNN",0.05,23,0.305304884910583,0.683886349201202,0.493346044274627,0.378581464290619
"SimpleRNN",0.05,27,0.369248569011688,0.686227858066559,0.486888419995542,0.316979289054871
"SimpleRNN",0.05,98,0.285974621772766,0.680004417896271,0.490477857726519,0.394029796123505
"SimpleRNN",0.05,41,0.341813147068024,0.654200255870819,0.484271154931334,0.312387108802795
"SimpleRNN",0.05,64,0.288506805896759,0.664698004722595,0.49582438038998,0.376191198825836
"SimpleRNN",0.1,23,0.306189149618149,0.681279599666595,0.49235038014709,0.375090450048447
"SimpleRNN",0.1,27,0.368488013744354,0.686996281147003,0.485803189238564,0.318508267402649
"SimpleRNN",0.1,98,0.326802611351013,0.668581485748291,0.494809205610244,0.341778874397278
"SimpleRNN",0.1,41,0.344504356384277,0.654417276382446,0.484187732270507,0.309912919998169
"SimpleRNN",0.1,64,0.288902819156647,0.66405463218689,0.496045416007276,0.375151813030243
