"ticker","lambda","seed","val_min","val_max","val_mean","val_sd","test_min","test_max","test_mean","test_sd","test_range"
"THYAO.IS",0,23,0.396376341581345,0.584509968757629,0.497664308665614,0.0339652598405501,0.351425349712372,0.548110246658325,0.494619431847432,0.0332030636051501,0.196684896945953
"THYAO.IS",0,27,0.316089898347855,0.591333210468292,0.493347817149601,0.0421353180286503,0.342266291379929,0.583402574062347,0.491326227442163,0.0427087782906326,0.241136282682419
"THYAO.IS",0,98,0.200336292386055,0.631359279155731,0.493764826439713,0.0626438040935657,0.217295780777931,0.609597623348236,0.491524912490219,0.0635535362232091,0.392301842570305
"THYAO.IS",0,41,0.289077907800674,0.581999599933624,0.489511120868357,0.0455550143411876,0.31655940413475,0.611056625843048,0.48682905083797,0.0486844497238335,0.294497221708298
"THYAO.IS",0,64,0.192641645669937,0.644522607326508,0.485635503636379,0.0633843722411193,0.223318248987198,0.609912753105164,0.482760401143402,0.0618245430139065,0.386594504117966
"THYAO.IS",0.05,23,0.325985103845596,0.601779997348785,0.490856909634251,0.0442117131991273,0.334408342838287,0.570834398269653,0.487584154039133,0.042180980136415,0.236426055431366
"THYAO.IS",0.05,27,0.317163944244385,0.586317598819733,0.493777137249708,0.0411469970745616,0.343235194683075,0.580446183681488,0.491819644072017,0.0417856659026592,0.237210988998413
"THYAO.IS",0.05,98,0.420714795589447,0.548191606998444,0.499227229995947,0.0257733790630102,0.399475544691086,0.549056828022003,0.497721215936004,0.0293965410962365,0.149581283330917
"THYAO.IS",0.05,41,0.290690571069717,0.581213593482971,0.48845404798263,0.0447979208195031,0.318260699510574,0.610197007656097,0.485783972994226,0.047705547135824,0.291936308145523
"THYAO.IS",0.05,64,0.164991065859795,0.652826011180878,0.485464336742696,0.0688233776485568,0.19623002409935,0.618363261222839,0.482493625801118,0.0671432340341489,0.422133237123489
"THYAO.IS",0.1,23,0.296694427728653,0.605806529521942,0.491575793020035,0.0469606011746861,0.321672558784485,0.575043857097626,0.488140584894868,0.0444998205675483,0.253371298313141
"THYAO.IS",0.1,27,0.271420121192932,0.586251318454742,0.491945140161797,0.0479991907876532,0.299380868673325,0.585379540920258,0.49003907832943,0.0487569944050069,0.285998672246933
"THYAO.IS",0.1,98,0.285474687814713,0.604389369487762,0.49402239526573,0.0485203116802131,0.293840080499649,0.580557227134705,0.4911265435766,0.0491544494463178,0.286717146635056
"THYAO.IS",0.1,41,0.218989849090576,0.59873628616333,0.486704959877228,0.0553084934810413,0.250201106071472,0.626620948314667,0.484121390346621,0.0562256099755207,0.376419842243195
"THYAO.IS",0.1,64,0.170483976602554,0.648481667041779,0.485254531432139,0.0673970745349596,0.201803475618362,0.614802479743958,0.48248319801737,0.0656196306728435,0.412999004125595
"PGSUS.IS",0,23,0.380161583423615,0.599530875682831,0.498684990268789,0.0494040861879224,0.345077514648438,0.574146926403046,0.49154472380388,0.053936205590594,0.229069411754608
"PGSUS.IS",0,27,0.371255069971085,0.596590936183929,0.497748707274073,0.0459614128023285,0.36763721704483,0.571803212165833,0.493387453966453,0.0504117500235266,0.204165995121002
"PGSUS.IS",0,98,0.383323639631271,0.577332317829132,0.496362968789119,0.0311654781934016,0.365528434514999,0.545894801616669,0.493692023930002,0.0354718849844699,0.180366367101669
"PGSUS.IS",0,41,0.347095280885696,0.615243434906006,0.496396129656779,0.0555880264260318,0.308333039283752,0.639925718307495,0.489529700259693,0.0626009080308557,0.331592679023743
"PGSUS.IS",0,64,0.317570716142654,0.654970705509186,0.500512333880914,0.0592522273859488,0.321289449930191,0.621515989303589,0.491068740555497,0.059920902625703,0.300226539373398
"PGSUS.IS",0.05,23,0.396537393331528,0.572200834751129,0.500040254898761,0.0381766766046582,0.388254672288895,0.57151335477829,0.494058010030965,0.0420230670503795,0.183258682489395
"PGSUS.IS",0.05,27,0.369359463453293,0.591997444629669,0.496150235988592,0.0455683850179238,0.365606755018234,0.567683100700378,0.491825275147547,0.0501000473742356,0.202076345682144
"PGSUS.IS",0.05,98,0.388515889644623,0.583076238632202,0.499337696225235,0.0309683399694892,0.370781689882278,0.548596501350403,0.496644558672045,0.035263203867866,0.177814811468124
"PGSUS.IS",0.05,41,0.349595338106155,0.608561336994171,0.494563406137259,0.0544901304307227,0.31127342581749,0.639244794845581,0.487904552846658,0.0615376824992398,0.327971369028091
"PGSUS.IS",0.05,64,0.321344614028931,0.651619255542755,0.501274596507612,0.0582514981949281,0.325024574995041,0.6191166639328,0.491922887915471,0.0590248086026976,0.294092088937759
"PGSUS.IS",0.1,23,0.398012667894363,0.569792628288269,0.499583638812366,0.0372941812279714,0.38988384604454,0.569189727306366,0.493666822499916,0.0410934333084262,0.179305881261826
"PGSUS.IS",0.1,27,0.346451312303543,0.590165436267853,0.494832252201281,0.0583921995088371,0.332626134157181,0.592092216014862,0.489296246063514,0.0649384228956019,0.259466081857681
"PGSUS.IS",0.1,98,0.391712963581085,0.58709841966629,0.50031176660406,0.0307677799289481,0.374364107847214,0.549081861972809,0.497492860379766,0.0350779359605934,0.174717754125595
"PGSUS.IS",0.1,41,0.355229794979095,0.603600203990936,0.494997951447179,0.0534501402285458,0.317267507314682,0.641285181045532,0.488602107079303,0.060575523596313,0.32401767373085
"PGSUS.IS",0.1,64,0.324713975191116,0.647688627243042,0.501284428529049,0.0573042021021304,0.32834580540657,0.616172552108765,0.491993759401509,0.0581481172108778,0.287826746702194
"SASA.IS",0,23,0.439613997936249,0.556672811508179,0.498161638023877,0.0193830086748034,0.420184999704361,0.554054796695709,0.495845318844021,0.021440107044962,0.133869796991348
