"fund","lambda","seed","test_min","test_max","test_mean","test_sd","test_range"
"AMZ",0,23,0.396702110767365,0.549221515655518,0.492671467576708,0.0508128338396612,0.152519404888153
"AMZ",0,27,0.446747392416,0.529706239700317,0.494803399699075,0.0299577605405039,0.082958847284317
"AMZ",0,98,0.461530536413193,0.567260146141052,0.513167995214462,0.039361148596939,0.105729609727859
"AMZ",0,41,0.44730007648468,0.545366823673248,0.495372575521469,0.0385451710433675,0.0980667471885681
"AMZ",0,64,0.432564377784729,0.605104804039001,0.521097130434854,0.0495094149590427,0.172540426254272
"AMZ",0.05,23,0.417487412691116,0.542460381984711,0.49496049114636,0.0420916422895904,0.124972969293594
"AMZ",0.05,27,0.446966826915741,0.52936452627182,0.494585019350052,0.0297316690251905,0.0823976993560791
"AMZ",0.05,98,0.461255729198456,0.566137969493866,0.512529338257653,0.0391956782357768,0.10488224029541
"AMZ",0.05,41,0.447406440973282,0.544650256633759,0.495246566193444,0.0380301387096393,0.0972438156604767
"AMZ",0.05,64,0.432886451482773,0.601712942123413,0.519890038456236,0.0485189090070128,0.16882649064064
"AMZ",0.1,23,0.419465303421021,0.543017566204071,0.496128470557077,0.0419406534960621,0.123552262783051
"AMZ",0.1,27,0.447376251220703,0.530234634876251,0.494905168669564,0.0295151852899021,0.0828583836555481
"AMZ",0.1,98,0.461052596569061,0.564933717250824,0.51188537308148,0.0389682733083765,0.103881120681763
"AMZ",0.1,41,0.444930821657181,0.545574903488159,0.495820088897433,0.0345186547028385,0.100644081830978
"AMZ",0.1,64,0.432402580976486,0.597925066947937,0.518043067625591,0.0476560314650986,0.165522485971451
