"lambda","seed","n_test","n_up_true","n_down_true","naive_acc","mean_yhat","sd_yhat","acc_orig","sens_orig","spec_orig","acc_flip","acc_diff","flip_beats_naive","diagnosis"
0,23,305,158,147,0.518032786885246,0.497708930832441,0.035520986473127,0.40327868852459,0.455696202531646,0.346938775510204,0.59672131147541,0.19344262295082,TRUE,"BUG/CONTRARIAN: model sistematik ters"
0,27,305,158,147,0.518032786885246,0.497629770196852,0.0308634085943149,0.429508196721311,0.39873417721519,0.462585034013605,0.570491803278689,0.140983606557377,TRUE,"BUG/CONTRARIAN: model sistematik ters"
0,41,305,158,147,0.518032786885246,0.492758075331078,0.0376124153988701,0.39672131147541,0.392405063291139,0.401360544217687,0.60327868852459,0.20655737704918,TRUE,"BUG/CONTRARIAN: model sistematik ters"
0,64,305,158,147,0.518032786885246,0.49773294241702,0.0412312176975751,0.422950819672131,0.443037974683544,0.401360544217687,0.577049180327869,0.154098360655738,TRUE,"BUG/CONTRARIAN: model sistematik ters"
0,98,305,158,147,0.518032786885246,0.497611872778564,0.0277738279239242,0.436065573770492,0.474683544303797,0.394557823129252,0.563934426229508,0.127868852459016,TRUE,"BUG/CONTRARIAN: model sistematik ters"
0.05,23,305,158,147,0.518032786885246,0.497524835144887,0.0265193095941679,0.40327868852459,0.462025316455696,0.340136054421769,0.59672131147541,0.19344262295082,TRUE,"BUG/CONTRARIAN: model sistematik ters"
0.05,27,305,158,147,0.518032786885246,0.496242265134561,0.0303442906816474,0.429508196721311,0.39873417721519,0.462585034013605,0.570491803278689,0.140983606557377,TRUE,"BUG/CONTRARIAN: model sistematik ters"
0.05,41,305,158,147,0.518032786885246,0.490618191293029,0.0371012723146743,0.40327868852459,0.341772151898734,0.469387755102041,0.59672131147541,0.19344262295082,TRUE,"BUG/CONTRARIAN: model sistematik ters"
0.05,64,305,158,147,0.518032786885246,0.499695783853531,0.0399645713565471,0.409836065573771,0.462025316455696,0.353741496598639,0.590163934426229,0.180327868852459,TRUE,"BUG/CONTRARIAN: model sistematik ters"
0.05,98,305,158,147,0.518032786885246,0.498758971788844,0.0269755526212682,0.436065573770492,0.474683544303797,0.394557823129252,0.563934426229508,0.127868852459016,TRUE,"BUG/CONTRARIAN: model sistematik ters"
0.1,23,305,158,147,0.518032786885246,0.492217924751219,0.0398617286496818,0.409836065573771,0.367088607594937,0.45578231292517,0.590163934426229,0.180327868852459,TRUE,"BUG/CONTRARIAN: model sistematik ters"
0.1,27,305,158,147,0.518032786885246,0.494910836610638,0.0298399810520913,0.436065573770492,0.392405063291139,0.482993197278912,0.563934426229508,0.127868852459016,TRUE,"BUG/CONTRARIAN: model sistematik ters"
0.1,41,305,158,147,0.518032786885246,0.492005461356679,0.0365561258389486,0.416393442622951,0.373417721518987,0.462585034013605,0.583606557377049,0.167213114754098,TRUE,"BUG/CONTRARIAN: model sistematik ters"
0.1,64,305,158,147,0.518032786885246,0.500563069738325,0.0388966324763469,0.39672131147541,0.468354430379747,0.319727891156463,0.60327868852459,0.20655737704918,TRUE,"BUG/CONTRARIAN: model sistematik ters"
0.1,98,305,158,147,0.518032786885246,0.498905586219225,0.0261240782469892,0.442622950819672,0.5,0.380952380952381,0.557377049180328,0.114754098360656,TRUE,"BUG/CONTRARIAN: model sistematik ters"
