"lambda","seed","val_min","val_max","val_mean","val_sd","test_min","test_max","test_mean","test_sd","test_range"
0,23,0.276405543088913,0.682239055633545,0.535457634612134,0.0581663410283093,0.305844068527222,0.640676975250244,0.531668070691531,0.0544385406054408,0.334832906723022
0,27,0.42300933599472,0.622677206993103,0.525719911742367,0.0319153017420177,0.43891653418541,0.600584506988525,0.523765127678386,0.0307854083838421,0.161667972803116
0,98,0.228842690587044,0.678888976573944,0.537943939237218,0.0644586079994087,0.244632259011269,0.652682244777679,0.535728202393798,0.0653252040891981,0.408049985766411
0,41,0.274792850017548,0.643167674541473,0.531665668381672,0.0543319970221301,0.306562185287476,0.676047742366791,0.52929841104101,0.0558332022811698,0.369485557079315
0,64,0.435228854417801,0.615232408046722,0.533843565340105,0.0330644319710111,0.407690703868866,0.601164638996124,0.531348654188094,0.0361629457632197,0.193473935127258
0.05,23,0.287859708070755,0.649679899215698,0.522992011159658,0.0535495941630534,0.314456641674042,0.615393579006195,0.519348372006025,0.0513128209897645,0.300936937332153
0.05,27,0.262958139181137,0.636854112148285,0.5215104379152,0.0557831814882829,0.292743891477585,0.639727711677551,0.519493159798325,0.056629728939858,0.346983820199966
0.05,98,0.235543265938759,0.668260812759399,0.526525884670647,0.0617575012652309,0.252121239900589,0.639379680156708,0.524062587100951,0.0620924374443274,0.387258440256119
0.05,41,0.210015460848808,0.643970549106598,0.517390231160741,0.0617080447835462,0.243357285857201,0.656952321529388,0.514985201202455,0.0621971805295401,0.413595035672188
0.05,64,0.252056300640106,0.66876208782196,0.519592701604492,0.058573439296922,0.284004062414169,0.633015275001526,0.516718755589157,0.0570289081991954,0.349011212587357
0.1,23,0.424158066511154,0.587506890296936,0.515478656186085,0.0270373743933059,0.41889089345932,0.554369628429413,0.512770308822882,0.0250395568277561,0.135478734970093
0.1,27,0.286977499723434,0.616499304771423,0.511943066590711,0.0502821069784165,0.315595686435699,0.611798644065857,0.509882156184462,0.0509241527571436,0.296202957630157
0.1,98,0.217805102467537,0.654522001743317,0.514938871817369,0.0626406848746788,0.234060451388359,0.629585862159729,0.512749940450074,0.0632744539785698,0.39552541077137
0.1,41,0.120478600263596,0.650142788887024,0.50317796937337,0.0775766710193849,0.148315161466599,0.678388655185699,0.501395728060457,0.0789966531805238,0.530073493719101
0.1,64,0.437708377838135,0.615301609039307,0.518493815276184,0.034977503702728,0.412656366825104,0.60901015996933,0.516006779573003,0.0375224283398405,0.196353793144226
