"lambda","seed","val_min","val_max","val_mean","val_sd","test_min","test_max","test_mean","test_sd","test_range"
0,23,0.396376341581345,0.584509968757629,0.497664308665614,0.0339652598405501,0.351425349712372,0.548110246658325,0.494619431847432,0.0332030636051501,0.196684896945953
0,27,0.316089898347855,0.591333210468292,0.493347817149601,0.0421353180286503,0.342266291379929,0.583402574062347,0.491326227442163,0.0427087782906326,0.241136282682419
0,98,0.200336292386055,0.631359279155731,0.493764826439713,0.0626438040935657,0.217295780777931,0.609597623348236,0.491524912490219,0.0635535362232091,0.392301842570305
0,41,0.289077907800674,0.581999599933624,0.489511120868357,0.0455550143411876,0.31655940413475,0.611056625843048,0.48682905083797,0.0486844497238335,0.294497221708298
0,64,0.192641645669937,0.644522607326508,0.485635503636379,0.0633843722411193,0.223318248987198,0.609912753105164,0.482760401143402,0.0618245430139065,0.386594504117966
0.05,23,0.325985103845596,0.601779997348785,0.490856909634251,0.0442117131991273,0.334408342838287,0.570834398269653,0.487584154039133,0.042180980136415,0.236426055431366
0.05,27,0.317163944244385,0.586317598819733,0.493777137249708,0.0411469970745616,0.343235194683075,0.580446183681488,0.491819644072017,0.0417856659026592,0.237210988998413
0.05,98,0.420714795589447,0.548191606998444,0.499227229995947,0.0257733790630102,0.399475544691086,0.549056828022003,0.497721215936004,0.0293965410962365,0.149581283330917
0.05,41,0.290690571069717,0.581213593482971,0.48845404798263,0.0447979208195031,0.318260699510574,0.610197007656097,0.485783972994226,0.047705547135824,0.291936308145523
0.05,64,0.164991065859795,0.652826011180878,0.485464336742696,0.0688233776485568,0.19623002409935,0.618363261222839,0.482493625801118,0.0671432340341489,0.422133237123489
0.1,23,0.296694427728653,0.605806529521942,0.491575793020035,0.0469606011746861,0.321672558784485,0.575043857097626,0.488140584894868,0.0444998205675483,0.253371298313141
0.1,27,0.271420121192932,0.586251318454742,0.491945140161797,0.0479991907876532,0.299380868673325,0.585379540920258,0.49003907832943,0.0487569944050069,0.285998672246933
0.1,98,0.285474687814713,0.604389369487762,0.49402239526573,0.0485203116802131,0.293840080499649,0.580557227134705,0.4911265435766,0.0491544494463178,0.286717146635056
0.1,41,0.218989849090576,0.59873628616333,0.486704959877228,0.0553084934810413,0.250201106071472,0.626620948314667,0.484121390346621,0.0562256099755207,0.376419842243195
0.1,64,0.170483976602554,0.648481667041779,0.485254531432139,0.0673970745349596,0.201803475618362,0.614802479743958,0.48248319801737,0.0656196306728435,0.412999004125595
