"variable","metric","cor_train","cor_test","cor_diff"
"USDTRY","price_level",0.908213454335166,0.412361657440569,-0.495851796894597
"USDTRY","log_return",-0.0103871255516657,-0.0247879768543076,-0.0144008513026419
"Oil","price_level",0.41444058016076,-0.147736586780845,-0.562177166941605
"Oil","log_return",0.0219497875408582,-0.132360609204167,-0.154310396745025
"TCMB_Rate","price_level",0.193504914667476,0.310955105269028,0.117450190601552
"TCMB_Rate","log_return",0.0202487570838207,0.0467030361115758,0.0264542790277551
