"lambda","n_seeds","best_thr_mean","Acc_05","Spec_05","Sens_05","BalAcc_05","Acc_flip_05","flip_beats_naive_count","MC_05"
0,5,0.47,0.442622950819672,0.531972789115646,0.359493670886076,0.445733230000861,0.557377049180328,5,0
0.05,5,0.45,0.438032786885246,0.529251700680272,0.353164556962025,0.441208128821149,0.561967213114754,5,0
0.1,5,0.5,0.44983606557377,0.529251700680272,0.375949367088608,0.45260053388444,0.55016393442623,4,0
