"lambda","n_seeds","best_thr_mean","Acc_05","Spec_05","Sens_05","BalAcc_05","Acc_flip_05","flip_beats_naive_count","MC_05","Acc_opt","Spec_opt","Sens_opt","BalAcc_opt","MC_opt"
0,5,0.5,0.388196721311475,0.416326530612245,0.362025316455696,0.389175923533971,0.611803278688525,5,0,0.388196721311475,0.416326530612245,0.362025316455696,0.389175923533971,0
0.05,5,0.5,0.405245901639344,0.425850340136054,0.386075949367089,0.405963144751572,0.594754098360656,5,0,0.405245901639344,0.425850340136054,0.386075949367089,0.405963144751572,0
0.1,5,0.5,0.39344262295082,0.420408163265306,0.368354430379747,0.394381296822526,0.60655737704918,5,0,0.39344262295082,0.420408163265306,0.368354430379747,0.394381296822526,0
