"lambda","n_seeds","best_thr_mean","Acc_05","Spec_05","Sens_05","BalAcc_05","Acc_flip_05","flip_beats_naive_count","MC_05","Acc_opt","Spec_opt","Sens_opt","BalAcc_opt","MC_opt"
0,5,0.52,0.448524590163934,0.12108843537415,0.753164556962025,0.437126496168088,0.551475409836066,5,0,0.416393442622951,0.243537414965986,0.577215189873418,0.410376302419702,0
0.05,5,0.5,0.451147540983607,0.161904761904762,0.720253164556962,0.441078963230862,0.548852459016393,5,0,0.451147540983607,0.161904761904762,0.720253164556962,0.441078963230862,0
0.1,5,0.51,0.40655737704918,0.208163265306122,0.591139240506329,0.399651252906226,0.59344262295082,5,0,0.411803278688525,0.310204081632653,0.506329113924051,0.408266597778352,0
