"lambda","n_seeds","best_thr_mean","Acc_05","Spec_05","Sens_05","F1_05","MC_05","Acc_opt","Spec_opt","Sens_opt","F1_opt","MC_opt"
0,5,0.33,0.542857142857143,0.457142857142857,0.564285714285714,0.662316868776496,0,0.8,0,1,0.888888888888889,5
0.1,5,0.33,0.548571428571428,0.428571428571429,0.578571428571429,0.670657596371882,0,0.8,0,1,0.888888888888889,5
0.3,5,0.3,0.548571428571428,0.428571428571429,0.578571428571429,0.670657596371882,0,0.8,0,1,0.888888888888889,5
0.5,5,0.3,0.548571428571428,0.428571428571429,0.578571428571429,0.670657596371882,0,0.8,0,1,0.888888888888889,5
