"lambda","seed","best_thr","val_BalAcc","val_Acc","test_Acc_05","test_Spec_05","test_Sens_05","test_BalAcc_05","test_Acc_flip_05","test_flip_beats_naive_05","test_is_MC_05","test_Acc_opt","test_Spec_opt","test_Sens_opt","test_BalAcc_opt","test_is_MC_opt"
0,23,0.5,0.529963195496861,0.536184210526316,0.459016393442623,0.142857142857143,0.753164556962025,0.448010849909584,0.540983606557377,TRUE,FALSE,0.459016393442623,0.142857142857143,0.753164556962025,0.448010849909584,FALSE
0,27,0.5,0.530742584975103,0.536184210526316,0.416393442622951,0.115646258503401,0.69620253164557,0.405924395074486,0.583606557377049,TRUE,FALSE,0.416393442622951,0.115646258503401,0.69620253164557,0.405924395074486,FALSE
0,98,0.55,0.533232301363932,0.532894736842105,0.465573770491803,0.142857142857143,0.765822784810127,0.454339963833635,0.534426229508197,TRUE,FALSE,0.380327868852459,0.36734693877551,0.392405063291139,0.379876001033325,FALSE
0,41,0.55,0.538926174496644,0.536184210526316,0.468852459016393,0.122448979591837,0.791139240506329,0.456794110049083,0.531147540983607,TRUE,FALSE,0.39344262295082,0.510204081632653,0.284810126582278,0.397507104107466,FALSE
0,64,0.5,0.525957999567006,0.532894736842105,0.432786885245902,0.0816326530612245,0.759493670886076,0.42056316197365,0.567213114754098,TRUE,FALSE,0.432786885245902,0.0816326530612245,0.759493670886076,0.42056316197365,FALSE
0.05,23,0.5,0.533838493180342,0.539473684210526,0.462295081967213,0.156462585034014,0.746835443037975,0.451649014035994,0.537704918032787,TRUE,FALSE,0.462295081967213,0.156462585034014,0.746835443037975,0.451649014035994,FALSE
0.05,27,0.5,0.533838493180342,0.539473684210526,0.442622950819672,0.17687074829932,0.689873417721519,0.433372083010419,0.557377049180328,TRUE,FALSE,0.442622950819672,0.17687074829932,0.689873417721519,0.433372083010419,FALSE
0.05,98,0.5,0.533838493180342,0.539473684210526,0.462295081967213,0.156462585034014,0.746835443037975,0.451649014035994,0.537704918032787,TRUE,FALSE,0.462295081967213,0.156462585034014,0.746835443037975,0.451649014035994,FALSE
0.05,41,0.5,0.540679800822689,0.546052631578947,0.442622950819672,0.163265306122449,0.70253164556962,0.432898475846035,0.557377049180328,TRUE,FALSE,0.442622950819672,0.163265306122449,0.70253164556962,0.432898475846035,FALSE
0.05,64,0.5,0.536804503139208,0.542763157894737,0.445901639344262,0.156462585034014,0.715189873417722,0.435826229225868,0.554098360655738,TRUE,FALSE,0.445901639344262,0.156462585034014,0.715189873417722,0.435826229225868,FALSE
0.1,23,0.5,0.521454860359385,0.526315789473684,0.39672131147541,0.163265306122449,0.613924050632911,0.38859467837768,0.60327868852459,TRUE,FALSE,0.39672131147541,0.163265306122449,0.613924050632911,0.38859467837768,FALSE
0.1,27,0.55,0.53327560077939,0.526315789473684,0.39344262295082,0.238095238095238,0.537974683544304,0.388034960819771,0.60655737704918,TRUE,FALSE,0.419672131147541,0.748299319727891,0.113924050632911,0.431111685180401,FALSE
0.1,98,0.5,0.537453994371076,0.542763157894737,0.436065573770492,0.197278911564626,0.658227848101266,0.427753379832946,0.563934426229508,TRUE,FALSE,0.436065573770492,0.197278911564626,0.658227848101266,0.427753379832946,FALSE
0.1,41,0.5,0.569084217363066,0.572368421052632,0.40655737704918,0.238095238095238,0.563291139240506,0.400693188667872,0.59344262295082,TRUE,FALSE,0.40655737704918,0.238095238095238,0.563291139240506,0.400693188667872,FALSE
0.1,64,0.5,0.534747780904958,0.539473684210526,0.4,0.204081632653061,0.582278481012658,0.39318005683286,0.6,TRUE,FALSE,0.4,0.204081632653061,0.582278481012658,0.39318005683286,FALSE
