"arch","lambda","seed","best_thr","test_Acc_05","test_Spec_05","test_Sens_05","test_Acc_flip_05","test_flip_beats_naive","test_is_MC_05"
"GRU",0,23,0.5,0.370491803278689,0.387755102040816,0.354430379746835,0.629508196721311,TRUE,FALSE
"GRU",0,27,0.5,0.39672131147541,0.394557823129252,0.39873417721519,0.60327868852459,TRUE,FALSE
"GRU",0,98,0.5,0.39344262295082,0.333333333333333,0.449367088607595,0.60655737704918,TRUE,FALSE
"GRU",0,41,0.5,0.386885245901639,0.36734693877551,0.40506329113924,0.613114754098361,TRUE,FALSE
"GRU",0,64,0.5,0.383606557377049,0.448979591836735,0.322784810126582,0.616393442622951,TRUE,FALSE
"GRU",0.05,23,0.5,0.380327868852459,0.442176870748299,0.322784810126582,0.619672131147541,TRUE,FALSE
"GRU",0.05,27,0.5,0.4,0.414965986394558,0.386075949367089,0.6,TRUE,FALSE
"GRU",0.05,98,0.5,0.386885245901639,0.346938775510204,0.424050632911392,0.613114754098361,TRUE,FALSE
"GRU",0.05,41,0.5,0.390163934426229,0.448979591836735,0.335443037974684,0.60983606557377,TRUE,FALSE
"GRU",0.05,64,0.5,0.390163934426229,0.374149659863946,0.40506329113924,0.60983606557377,TRUE,FALSE
"GRU",0.1,23,0.5,0.377049180327869,0.45578231292517,0.30379746835443,0.622950819672131,TRUE,FALSE
"GRU",0.1,27,0.5,0.40655737704918,0.428571428571429,0.386075949367089,0.59344262295082,TRUE,FALSE
"GRU",0.1,98,0.5,0.386885245901639,0.36734693877551,0.40506329113924,0.613114754098361,TRUE,FALSE
"GRU",0.1,41,0.5,0.390163934426229,0.45578231292517,0.329113924050633,0.60983606557377,TRUE,FALSE
"GRU",0.1,64,0.5,0.390163934426229,0.374149659863946,0.40506329113924,0.60983606557377,TRUE,FALSE
