"model","Acc","Sens","Spec","BalAcc","Acc_flip","is_MC","beats_naive","flip_beats_naive"
"DecisionTree",0.501639344262295,0.246753246753247,0.76158940397351,0.504171325363378,0.498360655737705,FALSE,FALSE,FALSE
"OneR",0.462295081967213,0.798701298701299,0.119205298013245,0.458953298357272,0.537704918032787,FALSE,FALSE,TRUE
"RandomForest",0.514754098360656,0.512987012987013,0.516556291390728,0.514771652188871,0.485245901639344,FALSE,TRUE,FALSE
"LogisticRegression",0.501639344262295,0.246753246753247,0.76158940397351,0.504171325363378,0.498360655737705,FALSE,FALSE,FALSE
