"arch","lambda","seed","best_thr","test_Acc_05","test_Spec_05","test_Sens_05","test_Acc_flip_05","test_flip_beats_naive","test_is_MC_05"
"SimpleRNN",0,23,0.5,0.468852459016393,0.482993197278912,0.455696202531646,0.531147540983607,TRUE,FALSE
"SimpleRNN",0,27,0.5,0.409836065573771,0.469387755102041,0.354430379746835,0.590163934426229,TRUE,FALSE
"SimpleRNN",0,98,0.5,0.488524590163934,0.537414965986395,0.443037974683544,0.511475409836066,FALSE,FALSE
"SimpleRNN",0,41,0.5,0.472131147540984,0.54421768707483,0.40506329113924,0.527868852459016,TRUE,FALSE
"SimpleRNN",0,64,0.5,0.40327868852459,0.421768707482993,0.386075949367089,0.59672131147541,TRUE,FALSE
"SimpleRNN",0.05,23,0.5,0.459016393442623,0.510204081632653,0.411392405063291,0.540983606557377,TRUE,FALSE
"SimpleRNN",0.05,27,0.45,0.449180327868852,0.564625850340136,0.341772151898734,0.550819672131148,TRUE,FALSE
"SimpleRNN",0.05,98,0.5,0.481967213114754,0.462585034013605,0.5,0.518032786885246,FALSE,FALSE
"SimpleRNN",0.05,41,0.5,0.462295081967213,0.551020408163265,0.379746835443038,0.537704918032787,TRUE,FALSE
"SimpleRNN",0.05,64,0.5,0.4,0.414965986394558,0.386075949367089,0.6,TRUE,FALSE
"SimpleRNN",0.1,23,0.5,0.468852459016393,0.530612244897959,0.411392405063291,0.531147540983607,TRUE,FALSE
"SimpleRNN",0.1,27,0.45,0.449180327868852,0.578231292517007,0.329113924050633,0.550819672131148,TRUE,FALSE
"SimpleRNN",0.1,98,0.5,0.465573770491803,0.421768707482993,0.506329113924051,0.534426229508197,TRUE,FALSE
"SimpleRNN",0.1,41,0.5,0.459016393442623,0.54421768707483,0.379746835443038,0.540983606557377,TRUE,FALSE
"SimpleRNN",0.1,64,0.45,0.40327868852459,0.421768707482993,0.386075949367089,0.59672131147541,TRUE,FALSE
