"ticker","model","seed","acc","acc_flip","naive_acc","dt_acc","flip_beats","is_MC"
"TURSG.IS","BiLSTM",23,0.556521739130435,0.443478260869565,0.517391304347826,0.526086956521739,FALSE,FALSE
"TURSG.IS","BiLSTM",42,0.534782608695652,0.465217391304348,0.517391304347826,0.526086956521739,FALSE,FALSE
"TURSG.IS","BiLSTM",98,0.530434782608696,0.469565217391304,0.517391304347826,0.526086956521739,FALSE,FALSE
"AKGRT.IS","BiLSTM",23,0.482608695652174,0.517391304347826,0.504347826086956,0.517391304347826,TRUE,FALSE
"AKGRT.IS","BiLSTM",42,0.482608695652174,0.517391304347826,0.504347826086956,0.517391304347826,TRUE,FALSE
"AKGRT.IS","BiLSTM",98,0.48695652173913,0.513043478260869,0.504347826086956,0.517391304347826,TRUE,FALSE
"ANSGR.IS","BiLSTM",23,0.456521739130435,0.543478260869565,0.526086956521739,0.456521739130435,TRUE,FALSE
"ANSGR.IS","BiLSTM",42,0.465217391304348,0.534782608695652,0.526086956521739,0.456521739130435,TRUE,FALSE
"ANSGR.IS","BiLSTM",98,0.473913043478261,0.526086956521739,0.526086956521739,0.456521739130435,TRUE,FALSE
"RAYSG.IS","BiLSTM",23,0.504347826086956,0.495652173913044,0.443478260869565,0.530434782608696,TRUE,FALSE
"RAYSG.IS","BiLSTM",42,0.508695652173913,0.491304347826087,0.443478260869565,0.530434782608696,TRUE,FALSE
"RAYSG.IS","BiLSTM",98,0.504347826086956,0.495652173913044,0.443478260869565,0.530434782608696,TRUE,FALSE
"AGESA.IS","BiLSTM",23,0.471615720524017,0.528384279475983,0.550218340611354,0.454148471615721,FALSE,FALSE
"AGESA.IS","BiLSTM",42,0.502183406113537,0.497816593886463,0.550218340611354,0.454148471615721,FALSE,FALSE
"AGESA.IS","BiLSTM",98,0.493449781659389,0.506550218340611,0.550218340611354,0.454148471615721,FALSE,FALSE
