"model","Acc","Sens","Spec","BalAcc","Acc_flip","is_MC","beats_naive","flip_beats_naive"
"DecisionTree",0.491803278688525,0.354430379746835,0.639455782312925,0.49694308102988,0.508196721311475,FALSE,FALSE,FALSE
"OneR",0.495081967213115,0.822784810126582,0.142857142857143,0.482820976491863,0.504918032786885,FALSE,FALSE,FALSE
"RandomForest",0.511475409836066,0.30379746835443,0.73469387755102,0.519245672952725,0.488524590163934,FALSE,FALSE,FALSE
"LogisticRegression",0.518032786885246,0.848101265822785,0.163265306122449,0.505683285972617,0.481967213114754,FALSE,FALSE,FALSE
