"IN_LEN","n","naive","mean_acc","mean_flip","flip_beats_naive_n","strict_anti_pred_n","mc_n"
2,15,0.518032786885246,0.395628415300546,0.604371584699454,15,15,0
5,15,0.518032786885246,0.453114754098361,0.546885245901639,15,15,0
10,15,0.519736842105263,0.526754385964912,0.473245614035088,0,0,0
