"lambda","n_seeds","best_thr_mean","Acc_05","Spec_05","Sens_05","BalAcc_05","MC_05","Acc_opt","Spec_opt","Sens_opt","BalAcc_opt","MC_opt"
0,5,0.45,0.8,0,1,0.5,5,0.571428571428571,0.314285714285714,0.635714285714286,0.475,2
0.05,5,0.45,0.8,0,1,0.5,5,0.52,0.314285714285714,0.571428571428571,0.442857142857143,2
0.1,5,0.44,0.788571428571429,0.0571428571428571,0.971428571428571,0.514285714285714,4,0.651428571428571,0.171428571428571,0.771428571428571,0.471428571428571,3
