"ticker","mean_acc","mean_flip","naive","loose_anti_pred_flip_gt_naive","strict_anti_pred_flip_gt_naive_AND_acc_le_naive","ambiguous_both_above","sinif"
"ALARK.IS",0.527536231884058,0.472463768115942,0.482608695652174,FALSE,FALSE,FALSE,"model_wins"
"DOHOL.IS",0.488405797101449,0.511594202898551,0.543478260869565,FALSE,FALSE,FALSE,"neutral_both_below"
"ENKAI.IS",0.472463768115942,0.527536231884058,0.543478260869565,FALSE,FALSE,FALSE,"neutral_both_below"
"KCHOL.IS",0.504347826086956,0.495652173913044,0.51304347826087,FALSE,FALSE,FALSE,"neutral_both_below"
"SAHOL.IS",0.51304347826087,0.48695652173913,0.478260869565217,TRUE,FALSE,TRUE,"ambiguous_both_above"
