"group","n_feat","seed","acc","acc_flip","naive","flip_beats"
"full_13",13,23,0.4,0.6,0.518032786885246,TRUE
"full_13",13,42,0.377049180327869,0.622950819672131,0.518032786885246,TRUE
"full_13",13,98,0.363934426229508,0.636065573770492,0.518032786885246,TRUE
"no_USDTRY_12",12,23,0.439344262295082,0.560655737704918,0.518032786885246,TRUE
"no_USDTRY_12",12,42,0.462295081967213,0.537704918032787,0.518032786885246,TRUE
"no_USDTRY_12",12,98,0.445901639344262,0.554098360655738,0.518032786885246,TRUE
"no_Oil_12",12,23,0.439344262295082,0.560655737704918,0.518032786885246,TRUE
"no_Oil_12",12,42,0.462295081967213,0.537704918032787,0.518032786885246,TRUE
"no_Oil_12",12,98,0.445901639344262,0.554098360655738,0.518032786885246,TRUE
"no_TCMB_12",12,23,0.439344262295082,0.560655737704918,0.518032786885246,TRUE
"no_TCMB_12",12,42,0.462295081967213,0.537704918032787,0.518032786885246,TRUE
"no_TCMB_12",12,98,0.445901639344262,0.554098360655738,0.518032786885246,TRUE
"no_ext_10",10,23,0.485245901639344,0.514754098360656,0.518032786885246,FALSE
"no_ext_10",10,42,0.498360655737705,0.501639344262295,0.518032786885246,FALSE
"no_ext_10",10,98,0.491803278688525,0.508196721311475,0.518032786885246,FALSE
