"group","n_features","n_config","mean_acc","mean_flip","flip_wins","mc_count","naive"
"full_13",13,15,0.395628415300546,0.604371584699454,15,0,0.518032786885246
"no_ext_10",10,15,0.496393442622951,0.503606557377049,0,0,0.518032786885246
