"ticker","lambda","seed","best_thr","val_BalAcc","val_Acc","naive_acc","test_Acc_05","test_Spec_05","test_Sens_05","test_BalAcc_05","test_F1_05","test_Acc_flip_05","test_flip_beats_naive_05","test_is_MC_05","test_Acc_opt","test_Spec_opt","test_Sens_opt","test_BalAcc_opt","test_F1_opt","test_is_MC_opt"
"THYAO.IS",0,23,0.5,0.535678718337302,0.536184210526316,0.518032786885246,0.4,0.414965986394558,0.386075949367089,0.400520967880823,0.4,0.6,TRUE,FALSE,0.4,0.414965986394558,0.386075949367089,0.400520967880823,0.4,FALSE
"THYAO.IS",0,27,0.5,0.542390127733276,0.542763157894737,0.518032786885246,0.409836065573771,0.448979591836735,0.373417721518987,0.411198656677861,0.395973154362416,0.590163934426229,TRUE,FALSE,0.409836065573771,0.448979591836735,0.373417721518987,0.411198656677861,0.395973154362416,FALSE
"THYAO.IS",0,98,0.5,0.544576748213899,0.546052631578947,0.518032786885246,0.363934426229508,0.285714285714286,0.436708860759494,0.36121157323689,0.41566265060241,0.636065573770492,TRUE,FALSE,0.363934426229508,0.285714285714286,0.436708860759494,0.36121157323689,0.41566265060241,FALSE
"THYAO.IS",0,41,0.5,0.54743450963412,0.546052631578947,0.518032786885246,0.39672131147541,0.482993197278912,0.316455696202532,0.399724446740722,0.352112676056338,0.60327868852459,TRUE,FALSE,0.39672131147541,0.482993197278912,0.316455696202532,0.399724446740722,0.352112676056338,FALSE
"THYAO.IS",0,64,0.5,0.547304611387746,0.546052631578947,0.518032786885246,0.370491803278689,0.448979591836735,0.29746835443038,0.373223973133557,0.328671328671329,0.629508196721311,TRUE,FALSE,0.370491803278689,0.448979591836735,0.29746835443038,0.373223973133557,0.328671328671329,FALSE
"THYAO.IS",0.05,23,0.5,0.539164321281663,0.539473684210526,0.518032786885246,0.413114754098361,0.462585034013605,0.367088607594937,0.414836820804271,0.393220338983051,0.586885245901639,TRUE,FALSE,0.413114754098361,0.462585034013605,0.367088607594937,0.414836820804271,0.393220338983051,FALSE
"THYAO.IS",0.05,27,0.5,0.545356137692141,0.546052631578947,0.518032786885246,0.409836065573771,0.435374149659864,0.386075949367089,0.410725049513476,0.403973509933775,0.590163934426229,TRUE,FALSE,0.409836065573771,0.435374149659864,0.386075949367089,0.410725049513476,0.403973509933775,FALSE
"THYAO.IS",0.05,98,0.5,0.538384931803421,0.539473684210526,0.518032786885246,0.422950819672131,0.306122448979592,0.531645569620253,0.418884009299922,0.488372093023256,0.577049180327869,TRUE,FALSE,0.422950819672131,0.306122448979592,0.531645569620253,0.418884009299922,0.488372093023256,FALSE
"THYAO.IS",0.05,41,0.5,0.547564407880494,0.546052631578947,0.518032786885246,0.39672131147541,0.482993197278912,0.316455696202532,0.399724446740722,0.352112676056338,0.60327868852459,TRUE,FALSE,0.39672131147541,0.482993197278912,0.316455696202532,0.399724446740722,0.352112676056338,FALSE
"THYAO.IS",0.05,64,0.5,0.546785018402252,0.546052631578947,0.518032786885246,0.383606557377049,0.442176870748299,0.329113924050633,0.385645397399466,0.356164383561644,0.616393442622951,TRUE,FALSE,0.383606557377049,0.442176870748299,0.329113924050633,0.385645397399466,0.356164383561644,FALSE
"THYAO.IS",0.1,23,0.5,0.535289023598181,0.536184210526316,0.518032786885246,0.40655737704918,0.428571428571429,0.386075949367089,0.407323688969259,0.402640264026403,0.59344262295082,TRUE,FALSE,0.40655737704918,0.428571428571429,0.386075949367089,0.407323688969259,0.402640264026403,FALSE
"THYAO.IS",0.1,27,0.5,0.544706646460273,0.546052631578947,0.518032786885246,0.39672131147541,0.408163265306122,0.386075949367089,0.397119607336606,0.398692810457516,0.60327868852459,TRUE,FALSE,0.39672131147541,0.408163265306122,0.386075949367089,0.397119607336606,0.398692810457516,FALSE
"THYAO.IS",0.1,98,0.5,0.545875730677636,0.546052631578947,0.518032786885246,0.386885245901639,0.333333333333333,0.436708860759494,0.385021097046414,0.424615384615385,0.613114754098361,TRUE,FALSE,0.386885245901639,0.333333333333333,0.436708860759494,0.385021097046414,0.424615384615385,FALSE
"THYAO.IS",0.1,41,0.5,0.548213899112362,0.546052631578947,0.518032786885246,0.39344262295082,0.476190476190476,0.316455696202532,0.396323086196504,0.350877192982456,0.60655737704918,TRUE,FALSE,0.39344262295082,0.476190476190476,0.316455696202532,0.396323086196504,0.350877192982456,FALSE
"THYAO.IS",0.1,64,0.5,0.547044814894999,0.546052631578947,0.518032786885246,0.383606557377049,0.45578231292517,0.316455696202532,0.386119004563851,0.347222222222222,0.616393442622951,TRUE,FALSE,0.383606557377049,0.45578231292517,0.316455696202532,0.386119004563851,0.347222222222222,FALSE
"PGSUS.IS",0,23,0.4,0.522916666666667,0.546052631578947,0.488524590163934,0.436065573770492,0.429487179487179,0.442953020134228,0.436220099810704,0.434210526315789,0.563934426229508,TRUE,FALSE,0.465573770491803,0.0897435897435897,0.859060402684564,0.474401996214077,0.610978520286396,FALSE
"PGSUS.IS",0,27,0.5,0.504513888888889,0.506578947368421,0.488524590163934,0.442622950819672,0.448717948717949,0.436241610738255,0.442479779728102,0.433333333333333,0.557377049180328,TRUE,FALSE,0.442622950819672,0.448717948717949,0.436241610738255,0.442479779728102,0.433333333333333,FALSE
"PGSUS.IS",0,98,0.45,0.517361111111111,0.539473684210526,0.488524590163934,0.432786885245902,0.461538461538462,0.402684563758389,0.432111512648425,0.409556313993174,0.567213114754098,TRUE,FALSE,0.452459016393443,0.0576923076923077,0.865771812080537,0.461732059886422,0.607058823529412,FALSE
