"IN_LEN","n","naive","mean_acc","mean_flip","flip_beats_naive_n","strict_anti_pred_n","mc_n"
2,15,0.515350877192982,0.485233918128655,0.514766081871345,8,8,0
5,15,0.515350877192982,0.515350877192982,0.484649122807018,0,0,0
10,15,0.483516483516484,0.521904761904762,0.478095238095238,6,0,0
