"model","Acc","Sens","Spec","BalAcc","Acc_flip","is_MC","beats_naive","flip_beats_naive"
"DecisionTree",0.475982532751092,0.0916334661354582,0.942028985507246,0.516831225821352,0.524017467248908,FALSE,FALSE,FALSE
"OneR",NA,NA,NA,NA,NA,TRUE,NA,NA
"RandomForest",0.480349344978166,0.625498007968127,0.304347826086957,0.464922917027542,0.519650655021834,FALSE,FALSE,FALSE
"LogisticRegression",0.454148471615721,0.0239043824701195,0.975845410628019,0.499874896549069,0.54585152838428,FALSE,FALSE,FALSE
