"arch","lambda","seed","best_thr","test_Acc_05","test_Spec_05","test_Sens_05","test_Acc_flip_05","test_flip_beats_naive","test_is_MC_05"
"Conv1D",0,23,0.5,0.40327868852459,0.428571428571429,0.379746835443038,0.59672131147541,TRUE,FALSE
"Conv1D",0,27,0.5,0.386885245901639,0.503401360544218,0.278481012658228,0.613114754098361,TRUE,FALSE
"Conv1D",0,98,0.5,0.377049180327869,0.210884353741497,0.531645569620253,0.622950819672131,TRUE,FALSE
"Conv1D",0,41,0.5,0.373770491803279,0.380952380952381,0.367088607594937,0.626229508196721,TRUE,FALSE
"Conv1D",0,64,0.5,0.409836065573771,0.401360544217687,0.417721518987342,0.590163934426229,TRUE,FALSE
"Conv1D",0.05,23,0.5,0.386885245901639,0.45578231292517,0.322784810126582,0.613114754098361,TRUE,FALSE
"Conv1D",0.05,27,0.5,0.422950819672131,0.510204081632653,0.341772151898734,0.577049180327869,TRUE,FALSE
"Conv1D",0.05,98,0.5,0.39344262295082,0.244897959183673,0.531645569620253,0.60655737704918,TRUE,FALSE
"Conv1D",0.05,41,0.5,0.390163934426229,0.394557823129252,0.386075949367089,0.60983606557377,TRUE,FALSE
"Conv1D",0.05,64,0.5,0.40327868852459,0.414965986394558,0.392405063291139,0.59672131147541,TRUE,FALSE
"Conv1D",0.1,23,0.5,0.390163934426229,0.503401360544218,0.284810126582278,0.60983606557377,TRUE,FALSE
"Conv1D",0.1,27,0.5,0.386885245901639,0.523809523809524,0.259493670886076,0.613114754098361,TRUE,FALSE
"Conv1D",0.1,98,0.5,0.390163934426229,0.251700680272109,0.518987341772152,0.60983606557377,TRUE,FALSE
"Conv1D",0.1,41,0.5,0.383606557377049,0.401360544217687,0.367088607594937,0.616393442622951,TRUE,FALSE
"Conv1D",0.1,64,0.5,0.416393442622951,0.394557823129252,0.436708860759494,0.583606557377049,TRUE,FALSE
