"day","actual","vote_count","majority_signal","SMA_Cross","EMA_Cross","RSI_14","MACD","BBand","Stoch","CCI","WilliamsR","ADX","ROC"
9043,1,5,0,0,0,0,1,1,1,1,1,0,0
9044,0,2,0,0,0,0,1,0,0,0,1,0,0
9045,0,2,0,0,0,0,1,0,0,0,1,0,0
9046,0,1,0,0,0,0,0,0,0,0,1,0,0
9047,0,1,0,0,0,0,0,0,0,0,1,0,0
9048,1,2,0,0,0,0,0,0,1,0,1,0,0
9049,1,2,0,0,0,0,0,0,1,0,1,0,0
9050,1,8,1,0,0,1,1,1,1,1,1,1,1
9051,1,8,1,0,0,1,1,1,1,1,1,1,1
9052,1,9,1,1,0,1,1,1,1,1,1,1,1
9053,0,8,1,1,0,1,1,1,0,1,1,1,1
9054,1,9,1,1,1,1,1,1,0,1,1,1,1
9055,1,10,1,1,1,1,1,1,1,1,1,1,1
9056,0,9,1,1,1,1,1,1,0,1,1,1,1
9057,0,7,1,1,1,0,1,1,0,1,1,0,1
9058,0,5,0,1,1,0,1,0,0,0,1,0,1
9059,0,3,0,1,0,0,0,0,0,0,1,0,1
9060,0,1,0,0,0,0,0,0,0,0,1,0,0
9061,0,1,0,0,0,0,0,0,0,0,1,0,0
9062,0,1,0,0,0,0,0,0,0,0,1,0,0
9063,0,1,0,0,0,0,0,0,0,0,1,0,0
9064,1,2,0,0,0,0,0,0,1,0,1,0,0
9065,0,1,0,0,0,0,0,0,0,0,1,0,0
9066,0,1,0,0,0,0,0,0,0,0,1,0,0
9067,1,2,0,0,0,0,0,0,1,0,1,0,0
9068,1,2,0,0,0,0,0,0,1,0,1,0,0
9069,1,8,1,0,0,1,1,1,1,1,1,1,1
9070,0,8,1,0,0,1,1,1,1,1,1,1,1
9071,1,8,1,0,0,1,1,1,1,1,1,1,1
9072,0,9,1,1,0,1,1,1,1,1,1,1,1
9073,1,9,1,1,0,1,1,1,1,1,1,1,1
9074,0,9,1,1,1,1,1,1,0,1,1,1,1
9075,0,9,1,1,1,1,1,1,0,1,1,1,1
9076,1,10,1,1,1,1,1,1,1,1,1,1,1
9077,1,10,1,1,1,1,1,1,1,1,1,1,1
9078,1,10,1,1,1,1,1,1,1,1,1,1,1
9079,0,9,1,1,1,1,1,1,0,1,1,1,1
