"fold","train_end","test_start","test_end","n_train","n_test","up_pct_train","up_pct_test","naive_acc","acc","acc_flip","flip_beats_naive","is_MC","yhat_min","yhat_max","yhat_range","sens","spec","error"
1,500,501,700,500,200,0.502,0.455,0.455,0.54,0.46,TRUE,FALSE,0.437928974628448,0.553972184658051,0.116043210029602,0.362637362637363,0.688073394495413,NA
2,700,701,900,700,200,0.488571428571429,0.57,0.43,0.44,0.56,TRUE,FALSE,0.367983758449554,0.60435277223587,0.236369013786316,0.535087719298246,0.313953488372093,NA
3,900,901,1100,900,200,0.506666666666667,0.675,0.675,0.48,0.52,FALSE,FALSE,0.342386543750763,0.607860863208771,0.265474319458008,0.385185185185185,0.676923076923077,NA
4,1100,1101,1300,1100,200,0.537272727272727,0.58,0.58,0.485,0.515,FALSE,FALSE,0.424291461706161,0.57120144367218,0.146909981966019,0.439655172413793,0.547619047619048,NA
5,1300,1301,1500,1300,200,0.543846153846154,0.61,0.61,0.535,0.465,FALSE,FALSE,0.35541370511055,0.614632070064545,0.259218364953995,0.508196721311475,0.576923076923077,NA
6,1500,1501,1700,1500,200,0.552666666666667,0.46,0.46,0.515,0.485,TRUE,FALSE,0.384278833866119,0.61366331577301,0.229384481906891,0.456521739130435,0.564814814814815,NA
7,1700,1701,1900,1700,200,0.541764705882353,0.53,0.53,0.525,0.475,FALSE,FALSE,0.441128253936768,0.572701692581177,0.131573438644409,0.622641509433962,0.414893617021277,NA
