"name","Acc","Sens","Spec","Acc_flip","flip_beats_naive","type"
"BiLSTM",0.39672131147541,0.360759493670886,0.435374149659864,0.60327868852459,TRUE,"single_arch"
"Conv1D",0.4,0.379746835443038,0.421768707482993,0.6,TRUE,"single_arch"
"GRU",0.377049180327869,0.373417721518987,0.380952380952381,0.622950819672131,TRUE,"single_arch"
"SimpleRNN",0.455737704918033,0.40506329113924,0.510204081632653,0.544262295081967,TRUE,"single_arch"
"TCN",0.40655737704918,0.481012658227848,0.326530612244898,0.59344262295082,TRUE,"single_arch"
"Transformer",0.40655737704918,0.246835443037975,0.578231292517007,0.59344262295082,TRUE,"single_arch"
"ENSEMBLE_HARD",0.39672131147541,0.341772151898734,0.45578231292517,0.60327868852459,TRUE,"ensemble"
"ENSEMBLE_SOFT",0.377049180327869,0.310126582278481,0.448979591836735,0.622950819672131,TRUE,"ensemble"
