"ticker","model","seed","acc","acc_flip","sens","spec","naive_acc","n_epoch_trained","flip_beats","strict_anti_pred","is_MC"
"TURSG.IS","BiLSTM_v2",23,0.552631578947368,0.447368421052632,0.504273504273504,0.603603603603604,0.513157894736842,12,FALSE,FALSE,FALSE
"TURSG.IS","BiLSTM_v2",42,0.530701754385965,0.469298245614035,0.495726495726496,0.567567567567568,0.513157894736842,14,FALSE,FALSE,FALSE
"TURSG.IS","BiLSTM_v2",98,0.508771929824561,0.491228070175439,0.461538461538462,0.558558558558559,0.513157894736842,15,FALSE,FALSE,FALSE
"TURSG.IS","BiLSTM_v2",137,0.508771929824561,0.491228070175439,0.427350427350427,0.594594594594595,0.513157894736842,13,FALSE,FALSE,FALSE
"TURSG.IS","BiLSTM_v2",271,0.521929824561403,0.478070175438597,0.487179487179487,0.558558558558559,0.513157894736842,18,FALSE,FALSE,FALSE
"AKGRT.IS","BiLSTM_v2",23,0.482456140350877,0.517543859649123,0.78448275862069,0.169642857142857,0.508771929824561,11,TRUE,TRUE,FALSE
"AKGRT.IS","BiLSTM_v2",42,0.491228070175439,0.508771929824561,0.78448275862069,0.1875,0.508771929824561,12,FALSE,FALSE,FALSE
"AKGRT.IS","BiLSTM_v2",98,0.486842105263158,0.513157894736842,0.793103448275862,0.169642857142857,0.508771929824561,12,TRUE,TRUE,FALSE
"AKGRT.IS","BiLSTM_v2",137,0.486842105263158,0.513157894736842,0.78448275862069,0.178571428571429,0.508771929824561,13,TRUE,TRUE,FALSE
"AKGRT.IS","BiLSTM_v2",271,0.486842105263158,0.513157894736842,0.78448275862069,0.178571428571429,0.508771929824561,13,TRUE,TRUE,FALSE
"ANSGR.IS","BiLSTM_v2",23,0.456140350877193,0.543859649122807,0.100840336134454,0.844036697247706,0.521929824561403,13,TRUE,TRUE,FALSE
"ANSGR.IS","BiLSTM_v2",42,0.456140350877193,0.543859649122807,0.126050420168067,0.81651376146789,0.521929824561403,13,TRUE,TRUE,FALSE
"ANSGR.IS","BiLSTM_v2",98,0.460526315789474,0.539473684210526,0.126050420168067,0.825688073394495,0.521929824561403,15,TRUE,TRUE,FALSE
"ANSGR.IS","BiLSTM_v2",137,0.464912280701754,0.535087719298246,0.151260504201681,0.807339449541284,0.521929824561403,13,TRUE,TRUE,FALSE
"ANSGR.IS","BiLSTM_v2",271,0.469298245614035,0.530701754385965,0.117647058823529,0.853211009174312,0.521929824561403,18,TRUE,TRUE,FALSE
"RAYSG.IS","BiLSTM_v2",23,0.513157894736842,0.486842105263158,0.941176470588235,0.166666666666667,0.447368421052632,27,TRUE,FALSE,FALSE
"RAYSG.IS","BiLSTM_v2",42,0.513157894736842,0.486842105263158,0.872549019607843,0.222222222222222,0.447368421052632,11,TRUE,FALSE,FALSE
"RAYSG.IS","BiLSTM_v2",98,0.517543859649123,0.482456140350877,0.882352941176471,0.222222222222222,0.447368421052632,11,TRUE,FALSE,FALSE
"RAYSG.IS","BiLSTM_v2",137,0.517543859649123,0.482456140350877,0.941176470588235,0.174603174603175,0.447368421052632,31,TRUE,FALSE,FALSE
"RAYSG.IS","BiLSTM_v2",271,0.478070175438596,0.521929824561403,0.950980392156863,0.0952380952380952,0.447368421052632,39,TRUE,FALSE,FALSE
"AGESA.IS","BiLSTM_v2",23,0.524229074889868,0.475770925110132,0.504,0.549019607843137,0.550660792951542,17,FALSE,FALSE,FALSE
"AGESA.IS","BiLSTM_v2",42,0.515418502202643,0.484581497797357,0.488,0.549019607843137,0.550660792951542,25,FALSE,FALSE,FALSE
"AGESA.IS","BiLSTM_v2",98,0.52863436123348,0.47136563876652,0.568,0.480392156862745,0.550660792951542,13,FALSE,FALSE,FALSE
"AGESA.IS","BiLSTM_v2",137,0.511013215859031,0.488986784140969,0.584,0.42156862745098,0.550660792951542,12,FALSE,FALSE,FALSE
"AGESA.IS","BiLSTM_v2",271,0.506607929515419,0.493392070484581,0.576,0.42156862745098,0.550660792951542,11,FALSE,FALSE,FALSE
