"group","n_feat","n_seed","mean_acc","mean_flip","flip_wins"
"full_13",13,3,0.380327868852459,0.619672131147541,3
"no_Oil_12",12,3,0.449180327868852,0.550819672131148,3
"no_TCMB_12",12,3,0.449180327868852,0.550819672131148,3
"no_USDTRY_12",12,3,0.449180327868852,0.550819672131148,3
"no_ext_10",10,3,0.491803278688525,0.508196721311475,0
