"fold","arch","seed","naive","Acc","Acc_flip","Sens","Spec","is_MC","flip_beats_naive","strict_anti_pred"
3,"Transformer",23,0.325,0.605,0.395,0.62962962962963,0.553846153846154,FALSE,TRUE,FALSE
3,"Transformer",42,0.325,0.555,0.445,0.555555555555556,0.553846153846154,FALSE,TRUE,FALSE
3,"Transformer",98,0.325,0.515,0.485,0.474074074074074,0.6,FALSE,TRUE,FALSE
4,"BiLSTM",23,0.58,0.49,0.51,0.491379310344828,0.488095238095238,FALSE,FALSE,FALSE
4,"BiLSTM",42,0.58,0.465,0.535,0.508620689655172,0.404761904761905,FALSE,FALSE,FALSE
4,"BiLSTM",98,0.58,0.505,0.495,0.5,0.511904761904762,FALSE,FALSE,FALSE
4,"GRU",23,0.58,0.47,0.53,0.5,0.428571428571429,FALSE,FALSE,FALSE
4,"GRU",42,0.58,0.5,0.5,0.53448275862069,0.452380952380952,FALSE,FALSE,FALSE
4,"GRU",98,0.58,0.53,0.47,0.53448275862069,0.523809523809524,FALSE,FALSE,FALSE
4,"SimpleRNN",23,0.58,0.51,0.49,0.560344827586207,0.44047619047619,FALSE,FALSE,FALSE
4,"SimpleRNN",42,0.58,0.47,0.53,0.551724137931034,0.357142857142857,FALSE,FALSE,FALSE
4,"SimpleRNN",98,0.58,0.48,0.52,0.46551724137931,0.5,FALSE,FALSE,FALSE
4,"Conv1D",23,0.58,0.545,0.455,0.508620689655172,0.595238095238095,FALSE,FALSE,FALSE
4,"Conv1D",42,0.58,0.51,0.49,0.53448275862069,0.476190476190476,FALSE,FALSE,FALSE
4,"Conv1D",98,0.58,0.475,0.525,0.439655172413793,0.523809523809524,FALSE,FALSE,FALSE
4,"TCN",23,0.58,0.525,0.475,0.508620689655172,0.547619047619048,FALSE,FALSE,FALSE
4,"TCN",42,0.58,0.55,0.45,0.456896551724138,0.678571428571429,FALSE,FALSE,FALSE
4,"TCN",98,0.58,0.5,0.5,0.5,0.5,FALSE,FALSE,FALSE
4,"Transformer",23,0.58,0.435,0.565,0.362068965517241,0.535714285714286,FALSE,FALSE,FALSE
4,"Transformer",42,0.58,0.49,0.51,0.517241379310345,0.452380952380952,FALSE,FALSE,FALSE
4,"Transformer",98,0.58,0.505,0.495,0.439655172413793,0.595238095238095,FALSE,FALSE,FALSE
5,"BiLSTM",23,0.61,0.505,0.495,0.532786885245902,0.461538461538462,FALSE,FALSE,FALSE
5,"BiLSTM",42,0.61,0.535,0.465,0.581967213114754,0.461538461538462,FALSE,FALSE,FALSE
5,"BiLSTM",98,0.61,0.51,0.49,0.549180327868853,0.448717948717949,FALSE,FALSE,FALSE
5,"GRU",23,0.61,0.515,0.485,0.516393442622951,0.512820512820513,FALSE,FALSE,FALSE
5,"GRU",42,0.61,0.49,0.51,0.467213114754098,0.525641025641026,FALSE,FALSE,FALSE
5,"GRU",98,0.61,0.505,0.495,0.508196721311475,0.5,FALSE,FALSE,FALSE
5,"SimpleRNN",23,0.61,0.53,0.47,0.581967213114754,0.448717948717949,FALSE,FALSE,FALSE
5,"SimpleRNN",42,0.61,0.47,0.53,0.491803278688525,0.435897435897436,FALSE,FALSE,FALSE
5,"SimpleRNN",98,0.61,0.46,0.54,0.442622950819672,0.487179487179487,FALSE,FALSE,FALSE
5,"Conv1D",23,0.61,0.49,0.51,0.540983606557377,0.41025641025641,FALSE,FALSE,FALSE
5,"Conv1D",42,0.61,0.505,0.495,0.516393442622951,0.487179487179487,FALSE,FALSE,FALSE
5,"Conv1D",98,0.61,0.515,0.485,0.549180327868853,0.461538461538462,FALSE,FALSE,FALSE
5,"TCN",23,0.61,0.545,0.455,0.614754098360656,0.435897435897436,FALSE,FALSE,FALSE
5,"TCN",42,0.61,0.52,0.48,0.508196721311475,0.538461538461538,FALSE,FALSE,FALSE
5,"TCN",98,0.61,0.505,0.495,0.565573770491803,0.41025641025641,FALSE,FALSE,FALSE
5,"Transformer",23,0.61,0.54,0.46,0.573770491803279,0.487179487179487,FALSE,FALSE,FALSE
5,"Transformer",42,0.61,0.485,0.515,0.532786885245902,0.41025641025641,FALSE,FALSE,FALSE
5,"Transformer",98,0.61,0.52,0.48,0.475409836065574,0.58974358974359,FALSE,FALSE,FALSE
