"group","n_features","lambda","seed","acc","acc_flip","naive_acc","flip_beats_naive","is_MC","yhat_min","yhat_max"
"full_13",13,0,23,0.4,0.6,0.518032786885246,TRUE,FALSE,0.351425349712372,0.548110246658325
"full_13",13,0,27,0.409836065573771,0.590163934426229,0.518032786885246,TRUE,FALSE,0.342266291379929,0.583402574062347
"full_13",13,0,98,0.363934426229508,0.636065573770492,0.518032786885246,TRUE,FALSE,0.217295780777931,0.609597623348236
"full_13",13,0,41,0.39672131147541,0.60327868852459,0.518032786885246,TRUE,FALSE,0.31655940413475,0.611056625843048
"full_13",13,0,64,0.370491803278689,0.629508196721311,0.518032786885246,TRUE,FALSE,0.223318248987198,0.609912753105164
"full_13",13,0.05,23,0.413114754098361,0.586885245901639,0.518032786885246,TRUE,FALSE,0.334408342838287,0.570834398269653
"full_13",13,0.05,27,0.409836065573771,0.590163934426229,0.518032786885246,TRUE,FALSE,0.343235194683075,0.580446183681488
"full_13",13,0.05,98,0.422950819672131,0.577049180327869,0.518032786885246,TRUE,FALSE,0.399475544691086,0.549056828022003
"full_13",13,0.05,41,0.39672131147541,0.60327868852459,0.518032786885246,TRUE,FALSE,0.318260699510574,0.610197007656097
"full_13",13,0.05,64,0.383606557377049,0.616393442622951,0.518032786885246,TRUE,FALSE,0.19623002409935,0.618363261222839
"full_13",13,0.1,23,0.40655737704918,0.59344262295082,0.518032786885246,TRUE,FALSE,0.321672558784485,0.575043857097626
"full_13",13,0.1,27,0.39672131147541,0.60327868852459,0.518032786885246,TRUE,FALSE,0.299380868673325,0.585379540920258
"full_13",13,0.1,98,0.386885245901639,0.613114754098361,0.518032786885246,TRUE,FALSE,0.293840080499649,0.580557227134705
"full_13",13,0.1,41,0.39344262295082,0.60655737704918,0.518032786885246,TRUE,FALSE,0.250201106071472,0.626620948314667
"full_13",13,0.1,64,0.383606557377049,0.616393442622951,0.518032786885246,TRUE,FALSE,0.201803475618362,0.614802479743958
"no_ext_10",10,0,23,0.485245901639344,0.514754098360656,0.518032786885246,FALSE,FALSE,0.475283801555634,0.678389668464661
"no_ext_10",10,0,27,0.498360655737705,0.501639344262295,0.518032786885246,FALSE,FALSE,0.48714542388916,0.663992822170258
"no_ext_10",10,0,98,0.491803278688525,0.508196721311475,0.518032786885246,FALSE,FALSE,0.488763898611069,0.657455861568451
"no_ext_10",10,0,41,0.518032786885246,0.481967213114754,0.518032786885246,FALSE,FALSE,0.490153163671494,0.572435796260834
"no_ext_10",10,0,64,0.498360655737705,0.501639344262295,0.518032786885246,FALSE,FALSE,0.468871533870697,0.609091758728027
"no_ext_10",10,0.05,23,0.485245901639344,0.514754098360656,0.518032786885246,FALSE,FALSE,0.472930699586868,0.671751081943512
"no_ext_10",10,0.05,27,0.498360655737705,0.501639344262295,0.518032786885246,FALSE,FALSE,0.486497819423676,0.66275829076767
"no_ext_10",10,0.05,98,0.491803278688525,0.508196721311475,0.518032786885246,FALSE,FALSE,0.488551586866379,0.651075899600983
"no_ext_10",10,0.05,41,0.504918032786885,0.495081967213115,0.518032786885246,FALSE,FALSE,0.45305660367012,0.63718444108963
"no_ext_10",10,0.05,64,0.498360655737705,0.501639344262295,0.518032786885246,FALSE,FALSE,0.471350103616714,0.609150528907776
"no_ext_10",10,0.1,23,0.481967213114754,0.518032786885246,0.518032786885246,FALSE,FALSE,0.471706241369247,0.665260493755341
"no_ext_10",10,0.1,27,0.498360655737705,0.501639344262295,0.518032786885246,FALSE,FALSE,0.485022217035294,0.659437775611877
"no_ext_10",10,0.1,98,0.491803278688525,0.508196721311475,0.518032786885246,FALSE,FALSE,0.489176511764526,0.645694434642792
"no_ext_10",10,0.1,41,0.504918032786885,0.495081967213115,0.518032786885246,FALSE,FALSE,0.45577347278595,0.634132087230682
"no_ext_10",10,0.1,64,0.498360655737705,0.501639344262295,0.518032786885246,FALSE,FALSE,0.471657067537308,0.605091691017151
