"fund","lambda","seed","naive_acc","test_Acc_05","test_Spec_05","test_Sens_05","test_BalAcc_05","test_Acc_flip_05","test_flip_beats_naive_05","test_is_MC_05","is_degenerate"
"AZS",0,23,0.742857142857143,0.714285714285714,0.111111111111111,0.923076923076923,0.517094017094017,0.285714285714286,FALSE,FALSE,FALSE
"AZS",0,27,0.742857142857143,0.714285714285714,0.222222222222222,0.884615384615385,0.553418803418803,0.285714285714286,FALSE,FALSE,FALSE
"AZS",0,98,0.742857142857143,0.628571428571429,0.333333333333333,0.730769230769231,0.532051282051282,0.371428571428571,FALSE,FALSE,FALSE
"AZS",0,41,0.742857142857143,0.371428571428571,0.666666666666667,0.269230769230769,0.467948717948718,0.628571428571429,FALSE,FALSE,FALSE
"AZS",0,64,0.742857142857143,0.742857142857143,0,1,0.5,0.257142857142857,FALSE,TRUE,FALSE
"AZS",0.05,23,0.742857142857143,0.714285714285714,0.111111111111111,0.923076923076923,0.517094017094017,0.285714285714286,FALSE,FALSE,FALSE
"AZS",0.05,27,0.742857142857143,0.714285714285714,0.222222222222222,0.884615384615385,0.553418803418803,0.285714285714286,FALSE,FALSE,FALSE
"AZS",0.05,98,0.742857142857143,0.628571428571429,0.333333333333333,0.730769230769231,0.532051282051282,0.371428571428571,FALSE,FALSE,FALSE
"AZS",0.05,41,0.742857142857143,0.371428571428571,0.666666666666667,0.269230769230769,0.467948717948718,0.628571428571429,FALSE,FALSE,FALSE
"AZS",0.05,64,0.742857142857143,0.685714285714286,0.111111111111111,0.884615384615385,0.497863247863248,0.314285714285714,FALSE,FALSE,FALSE
"AZS",0.1,23,0.742857142857143,0.628571428571429,0.333333333333333,0.730769230769231,0.532051282051282,0.371428571428571,FALSE,FALSE,FALSE
"AZS",0.1,27,0.742857142857143,0.685714285714286,0.111111111111111,0.884615384615385,0.497863247863248,0.314285714285714,FALSE,FALSE,FALSE
"AZS",0.1,98,0.742857142857143,0.628571428571429,0.333333333333333,0.730769230769231,0.532051282051282,0.371428571428571,FALSE,FALSE,FALSE
"AZS",0.1,41,0.742857142857143,0.371428571428571,0.666666666666667,0.269230769230769,0.467948717948718,0.628571428571429,FALSE,FALSE,FALSE
"AZS",0.1,64,0.742857142857143,0.685714285714286,0.111111111111111,0.884615384615385,0.497863247863248,0.314285714285714,FALSE,FALSE,FALSE
