"IN_LEN","lambda","seed","Acc","Acc_flip","Sens","Spec","is_MC","naive","flip_beats_naive","strict_anti_pred"
2,0,23,0.4,0.6,0.386075949367089,0.414965986394558,FALSE,0.518032786885246,TRUE,TRUE
2,0,27,0.409836065573771,0.590163934426229,0.373417721518987,0.448979591836735,FALSE,0.518032786885246,TRUE,TRUE
2,0,98,0.363934426229508,0.636065573770492,0.436708860759494,0.285714285714286,FALSE,0.518032786885246,TRUE,TRUE
2,0,41,0.39672131147541,0.60327868852459,0.316455696202532,0.482993197278912,FALSE,0.518032786885246,TRUE,TRUE
2,0,64,0.370491803278689,0.629508196721311,0.29746835443038,0.448979591836735,FALSE,0.518032786885246,TRUE,TRUE
2,0.05,23,0.413114754098361,0.586885245901639,0.367088607594937,0.462585034013605,FALSE,0.518032786885246,TRUE,TRUE
2,0.05,27,0.409836065573771,0.590163934426229,0.386075949367089,0.435374149659864,FALSE,0.518032786885246,TRUE,TRUE
2,0.05,98,0.422950819672131,0.577049180327869,0.531645569620253,0.306122448979592,FALSE,0.518032786885246,TRUE,TRUE
2,0.05,41,0.39672131147541,0.60327868852459,0.316455696202532,0.482993197278912,FALSE,0.518032786885246,TRUE,TRUE
2,0.05,64,0.383606557377049,0.616393442622951,0.329113924050633,0.442176870748299,FALSE,0.518032786885246,TRUE,TRUE
2,0.1,23,0.40655737704918,0.59344262295082,0.386075949367089,0.428571428571429,FALSE,0.518032786885246,TRUE,TRUE
2,0.1,27,0.39672131147541,0.60327868852459,0.386075949367089,0.408163265306122,FALSE,0.518032786885246,TRUE,TRUE
2,0.1,98,0.386885245901639,0.613114754098361,0.436708860759494,0.333333333333333,FALSE,0.518032786885246,TRUE,TRUE
2,0.1,41,0.39344262295082,0.60655737704918,0.316455696202532,0.476190476190476,FALSE,0.518032786885246,TRUE,TRUE
2,0.1,64,0.383606557377049,0.616393442622951,0.316455696202532,0.45578231292517,FALSE,0.518032786885246,TRUE,TRUE
5,0,23,0.445901639344262,0.554098360655738,0.468354430379747,0.421768707482993,FALSE,0.518032786885246,TRUE,TRUE
5,0,27,0.445901639344262,0.554098360655738,0.487341772151899,0.401360544217687,FALSE,0.518032786885246,TRUE,TRUE
