"lambda","seed","best_thr","val_BalAcc","val_Acc","test_Acc_05","test_Spec_05","test_Sens_05","test_BalAcc_05","test_is_MC_05","test_Acc_opt","test_Spec_opt","test_Sens_opt","test_BalAcc_opt","test_is_MC_opt"
0,23,0.5,0.522988505747126,0.428571428571429,0.457142857142857,0.428571428571429,0.464285714285714,0.446428571428571,FALSE,0.457142857142857,0.428571428571429,0.464285714285714,0.446428571428571,FALSE
0,27,0.45,0.528735632183908,0.657142857142857,0.457142857142857,0.428571428571429,0.464285714285714,0.446428571428571,FALSE,0.628571428571429,0.285714285714286,0.714285714285714,0.5,FALSE
0,98,0.5,0.540229885057471,0.457142857142857,0.542857142857143,0.714285714285714,0.5,0.607142857142857,FALSE,0.542857142857143,0.714285714285714,0.5,0.607142857142857,FALSE
0,41,0.5,0.675287356321839,0.571428571428571,0.4,0.428571428571429,0.392857142857143,0.410714285714286,FALSE,0.4,0.428571428571429,0.392857142857143,0.410714285714286,FALSE
0,64,0.5,0.658045977011494,0.542857142857143,0.4,0.428571428571429,0.392857142857143,0.410714285714286,FALSE,0.4,0.428571428571429,0.392857142857143,0.410714285714286,FALSE
0.05,23,0.5,0.522988505747126,0.428571428571429,0.457142857142857,0.428571428571429,0.464285714285714,0.446428571428571,FALSE,0.457142857142857,0.428571428571429,0.464285714285714,0.446428571428571,FALSE
0.05,27,0.45,0.583333333333333,0.857142857142857,0.485714285714286,0.714285714285714,0.428571428571429,0.571428571428571,FALSE,0.8,0,1,0.5,TRUE
0.05,98,0.5,0.540229885057471,0.457142857142857,0.542857142857143,0.714285714285714,0.5,0.607142857142857,FALSE,0.542857142857143,0.714285714285714,0.5,0.607142857142857,FALSE
0.05,41,0.5,0.675287356321839,0.571428571428571,0.4,0.428571428571429,0.392857142857143,0.410714285714286,FALSE,0.4,0.428571428571429,0.392857142857143,0.410714285714286,FALSE
0.05,64,0.5,0.658045977011494,0.542857142857143,0.4,0.428571428571429,0.392857142857143,0.410714285714286,FALSE,0.4,0.428571428571429,0.392857142857143,0.410714285714286,FALSE
0.1,23,0.5,0.522988505747126,0.428571428571429,0.457142857142857,0.428571428571429,0.464285714285714,0.446428571428571,FALSE,0.457142857142857,0.428571428571429,0.464285714285714,0.446428571428571,FALSE
0.1,27,0.5,0.626436781609195,0.6,0.571428571428571,0.428571428571429,0.607142857142857,0.517857142857143,FALSE,0.571428571428571,0.428571428571429,0.607142857142857,0.517857142857143,FALSE
0.1,98,0.5,0.540229885057471,0.457142857142857,0.542857142857143,0.714285714285714,0.5,0.607142857142857,FALSE,0.542857142857143,0.714285714285714,0.5,0.607142857142857,FALSE
0.1,41,0.5,0.675287356321839,0.571428571428571,0.4,0.428571428571429,0.392857142857143,0.410714285714286,FALSE,0.4,0.428571428571429,0.392857142857143,0.410714285714286,FALSE
0.1,64,0.5,0.658045977011494,0.542857142857143,0.4,0.428571428571429,0.392857142857143,0.410714285714286,FALSE,0.4,0.428571428571429,0.392857142857143,0.410714285714286,FALSE
