"lambda","Acc_m","Acc_sd","Sens_m","Sens_sd","Spec_m","Spec_sd","mean_yhat_m","MC_count","n"
0,0.542857142857143,0.0494871659305393,0.564285714285714,0.063887656499994,0.457142857142857,0.063887656499994,0.502587899310248,0,5
0.1,0.548571428571428,0.0511101251999952,0.578571428571429,0.063887656499994,0.428571428571429,0,0.502236973047256,0,5
0.3,0.548571428571428,0.0511101251999952,0.578571428571429,0.063887656499994,0.428571428571429,0,0.500922250407083,0,5
0.5,0.548571428571428,0.0511101251999952,0.578571428571429,0.063887656499994,0.428571428571429,0,0.501737888710839,0,5
