"lambda","n_seeds","best_thr_mean","Acc_05","Spec_05","Sens_05","BalAcc_05","MC_05","Acc_opt","Spec_opt","Sens_opt","BalAcc_opt","MC_opt"
0,5,0.49,0.451428571428571,0.485714285714286,0.442857142857143,0.464285714285714,0,0.485714285714286,0.457142857142857,0.492857142857143,0.475,0
0.05,5,0.49,0.457142857142857,0.542857142857143,0.435714285714286,0.489285714285714,0,0.52,0.4,0.55,0.475,1
0.1,5,0.5,0.474285714285714,0.485714285714286,0.471428571428571,0.478571428571429,0,0.474285714285714,0.485714285714286,0.471428571428571,0.478571428571429,0
